Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,23,PHI,Philadelphia 76Ers,Charles Barkley,25,3,3,135,7.7,12.0,0.64,0.3,1.3,0.2,7.5,10.7,0.7,5.9,8.3,0.71,2.1,7.2,9.3,4.3,1.3,0.5,2.9,2.4,21.6
1989,23,PHI,Philadelphia 76Ers,Maurice Cheeks,32,3,3,128,5.9,11.5,0.51,0.0,0.3,0.0,5.9,11.3,0.52,3.1,3.7,0.85,0.8,2.3,3.1,11.0,2.0,0.3,0.8,1.1,14.9
1989,23,PHI,Philadelphia 76Ers,Mike Gminski,29,3,3,118,5.8,14.6,0.4,0.0,0.0,,5.8,14.6,0.4,3.4,4.9,0.69,1.8,5.2,7.0,0.6,0.0,2.4,0.6,2.4,14.9
1989,23,PHI,Philadelphia 76Ers,Ron Anderson,30,3,0,109,9.6,16.8,0.57,0.0,0.3,0.0,9.6,16.5,0.58,1.3,1.7,0.8,2.3,3.0,5.3,4.3,0.3,0.7,0.7,3.3,20.5
1989,23,PHI,Philadelphia 76Ers,Hersey Hawkins,22,3,3,72,1.5,12.0,0.12,0.0,2.5,0.0,1.5,9.5,0.16,1.0,1.0,1.0,0.5,2.0,2.5,2.0,1.5,0.5,1.5,3.0,4.0
1989,23,PHI,Philadelphia 76Ers,Gerald Henderson,33,3,0,69,5.2,13.0,0.4,1.0,3.7,0.29,4.2,9.4,0.44,1.0,3.1,0.33,1.6,2.1,3.7,2.6,1.0,0.0,2.6,5.2,12.5
1989,23,PHI,Philadelphia 76Ers,Derek Smith,27,3,3,48,6.8,10.5,0.64,0.0,0.0,,6.8,10.5,0.64,0.7,1.5,0.5,1.5,3.7,5.2,2.3,0.7,0.0,4.5,6.8,14.2
1989,23,PHI,Philadelphia 76Ers,Ben Coleman,27,3,0,23,9.4,12.5,0.75,0.0,0.0,,9.4,12.5,0.75,3.1,3.1,1.0,3.1,4.7,7.8,0.0,1.6,0.0,1.6,12.5,21.9
1989,23,PHI,Philadelphia 76Ers,Chris Welp,25,3,0,22,1.6,4.9,0.33,0.0,0.0,,1.6,4.9,0.33,0.0,3.3,0.0,0.0,11.5,11.5,0.0,0.0,0.0,1.6,11.5,3.3
1989,23,PHI,Philadelphia 76Ers,Scott Brooks,23,3,0,21,1.7,10.3,0.17,1.7,3.4,0.5,0.0,6.9,0.0,3.4,3.4,1.0,0.0,6.9,6.9,8.6,0.0,0.0,1.7,6.9,8.6
