NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
50,Matt Bullard,PF,6-10,215,1967-06-05,US,R,"Colorado, Iowa"
44,Adrian Caldwell,PF,6-8,265,1966-07-04,US,1,"SMU, Lamar"
5,Dave Feitl,C,6-11,235,1962-06-08,US,3,Texas-El Paso
21,Sleepy Floyd,PG,6-3,170,1960-03-06,US,8,Georgetown
32,Dave Jamerson,SG,6-5,190,1967-08-13,US,R,Ohio University
1,Buck Johnson,SF,6-7,190,1964-01-03,US,4,Alabama
11,Vernon Maxwell,SG,6-4,180,1965-09-12,US,2,Florida
34,Hakeem Olajuwon,C,7-0,255,1963-01-21,NG,6,Houston
30,Kenny Smith,PG,6-3,170,1965-03-08,US,3,UNC
13,Larry Smith,PF,6-8,215,1958-01-18,US,10,Alcorn State
33,Otis Thorpe,PF,6-9,225,1962-08-05,US,6,Providence
20,Kennard Winchester,SF,6-5,210,1966-09-03,US,R,"James Madison University, Averett University"
10,David Wood,SF,6-9,227,1964-11-30,US,1,Nevada
42,Mike Woodson,SG,6-5,195,1958-03-24,US,10,Indiana
