NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2,Keith Askins,SF,6-7,197,1967-12-15,US,R,Alabama
34,Willie Burton,SF,6-8,210,1968-05-26,US,R,Minnesota
12,Bimbo Coles,PG,6-1,180,1968-04-22,US,R,Virginia Tech
44,Terry Davis,PF,6-9,225,1967-06-17,US,1,Virginia Union University
11,Sherman Douglas,PG,6-0,180,1966-09-15,US,1,Syracuse
21,Kevin Edwards,SG,6-3,190,1965-10-30,US,2,DePaul
33,Alec Kessler,C,6-11,230,1967-01-13,US,R,Georgia
43,Grant Long,PF,6-8,225,1966-03-12,US,2,Eastern Michigan
53,Alan Ogg,C,7-2,240,1967-07-05,US,R,UAB
41,Glen Rice,SF,6-7,215,1967-05-28,US,1,Michigan
4,Rony Seikaly,C,6-11,230,1965-05-10,LB,2,Syracuse
20,Jon Sundvold,SG,6-2,170,1961-07-02,US,7,Missouri
55,Billy Thompson,SF,6-7,195,1963-12-01,US,4,Louisville
25,Milt Wagner,SG,6-5,185,1963-02-20,US,1,Louisville
