Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,1,1072,ATL,Atlanta Hawks,24.0,NBA,SG,78,9,1718,8.7,19.5,0.45,1.6,4.0,0.39,7.1,15.4,0.46,3.6,4.9,0.74,2.1,4.5,6.6,5.0,2.7,0.6,2.6,5.5,22.6,,109,109
1993,1,1072,ATL,Atlanta Hawks,25.0,NBA,SG,80,11,1508,8.4,18.3,0.46,1.4,4.6,0.3,7.0,13.7,0.51,3.1,4.3,0.73,2.0,4.2,6.2,5.4,2.8,0.2,3.9,6.0,21.2,,103,110
1994,1,1072,ATL,Atlanta Hawks,26.0,NBA,SG,21,0,128,8.4,22.7,0.37,1.2,5.2,0.23,7.2,17.5,0.41,5.2,6.8,0.76,1.6,3.2,4.8,5.2,1.6,2.0,2.0,4.4,23.1,,103,105
