Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1968-69,22.0,BAL,NBA,C,82,,2970,427,897,0.476,,,,427,897,0.476,0.476,277,458,0.605,,,1491,213,,,,276,1131,,0
1969-70,23.0,BAL,NBA,C,82,,3234,526,1015,0.518,,,,526,1015,0.518,0.518,273,428,0.638,,,1370,291,,,,250,1325,,1
1970-71,24.0,BAL,NBA,C,74,,2904,424,846,0.501,,,,424,846,0.501,0.501,199,303,0.657,,,1253,293,,,,235,1047,,2
1971-72,25.0,BAL,NBA,C,76,,3171,409,822,0.498,,,,409,822,0.498,0.498,171,272,0.629,,,1336,278,,,,218,989,,0
1972-73,26.0,BAL,NBA,C,79,,3085,421,854,0.493,,,,421,854,0.493,0.493,149,212,0.703,,,1260,347,,,,168,991,,0
1973-74,27.0,CAP,NBA,C,56,,1727,146,333,0.438,,,,146,333,0.438,0.438,36,55,0.655,152.0,365.0,517,159,56.0,16.0,,121,328,,0
1974-75,28.0,WSB,NBA,C,73,,2904,273,544,0.502,,,,273,544,0.502,0.502,126,184,0.685,318.0,759.0,1077,297,115.0,68.0,,180,672,,0
1975-76,29.0,WSB,NBA,C,78,,2922,318,567,0.561,,,,318,567,0.561,0.561,114,195,0.585,271.0,765.0,1036,404,84.0,59.0,,203,750,,0
1976-77,30.0,WSB,NBA,C,82,,2860,270,551,0.49,,,,270,551,0.49,0.49,100,166,0.602,243.0,634.0,877,363,87.0,45.0,,253,640,,1
1977-78,31.0,WSB,NBA,C,80,,2644,257,491,0.523,,,,257,491,0.523,0.523,93,173,0.538,286.0,669.0,955,326,98.0,45.0,173.0,234,607,,1
1978-79,32.0,WSB,NBA,C,77,,2406,346,600,0.577,,,,346,600,0.577,0.577,151,235,0.643,274.0,556.0,830,315,71.0,37.0,156.0,204,843,,1
1979-80,33.0,WSB,NBA,C,82,,2973,327,637,0.513,1.0,2.0,0.5,326,635,0.513,0.514,139,209,0.665,334.0,760.0,1094,366,65.0,61.0,153.0,249,794,,1
1980-81,34.0,WSB,NBA,C,63,,2032,225,429,0.524,2.0,4.0,0.5,223,425,0.525,0.527,55,86,0.64,207.0,466.0,673,170,52.0,36.0,97.0,171,507,,0
