PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Elton Brand,22.0,80.0,3020.0,0.527,0.527,,0.527,0.742,0.586,0.519,0.0,118.0,113.0,,110.0,99.0,113.0,177.0,,100.2,162.1
Jeff McInnis,27.0,81.0,3030.0,0.413,0.43700000000000006,0.321,0.446,0.836,0.486,0.195,0.209,93.0,94.0,91.0,94.0,111.0,93.0,67.0,115.0,-68.7,-82.8
Quentin Richardson,21.0,81.0,2152.0,0.43200000000000005,0.46299999999999997,0.381,0.504,0.765,0.534,0.20199999999999999,0.377,97.0,99.0,108.0,106.0,102.0,103.0,69.0,208.0,49.4,26.8
Michael Olowokandi,26.0,80.0,2568.0,0.433,0.433,,0.433,0.622,0.457,0.212,0.0,97.0,93.0,,91.0,83.0,88.0,72.0,,-77.5,-123.0
Darius Miles,20.0,82.0,2227.0,0.48100000000000004,0.491,0.158,0.484,0.62,0.516,0.397,0.03,108.0,106.0,45.0,101.0,82.0,99.0,136.0,16.0,8.4,-5.8
Corey Maggette,22.0,63.0,1615.0,0.44299999999999995,0.483,0.331,0.48700000000000004,0.8009999999999999,0.56,0.474,0.262,100.0,104.0,94.0,102.0,106.0,108.0,162.0,145.0,10.2,50.6
Eric Piatkowski,31.0,71.0,1718.0,0.44,0.41200000000000003,0.466,0.557,0.894,0.601,0.24,0.505,99.0,89.0,132.0,117.0,119.0,116.0,82.0,278.0,75.5,84.1
Lamar Odom,22.0,29.0,999.0,0.419,0.489,0.191,0.442,0.6559999999999999,0.473,0.258,0.233,94.0,105.0,54.0,93.0,87.0,91.0,88.0,129.0,-25.5,-38.2
Earl Boykins,25.0,68.0,761.0,0.4,0.41600000000000004,0.309,0.424,0.77,0.46399999999999997,0.222,0.153,90.0,89.0,88.0,89.0,102.0,89.0,76.0,84.0,-29.4,-34.1
Sean Rooks,32.0,61.0,728.0,0.41700000000000004,0.41700000000000004,,0.418,0.7240000000000001,0.44299999999999995,0.149,0.0,94.0,90.0,,88.0,96.0,85.0,51.0,,-23.1,-32.2
Tremaine Fowlkes,25.0,22.0,343.0,0.391,0.391,,0.391,0.774,0.47700000000000004,0.484,0.0,88.0,84.0,,82.0,103.0,92.0,165.0,,-11.1,-6.8
Keyon Dooling,21.0,14.0,155.0,0.386,0.419,0.28600000000000003,0.42100000000000004,0.833,0.466,0.21,0.24600000000000002,87.0,90.0,81.0,88.0,111.0,89.0,72.0,135.0,-6.4,-6.8
Obinna Ekezie,26.0,29.0,152.0,0.33299999999999996,0.33299999999999996,,0.33299999999999996,0.7,0.47700000000000004,1.026,0.0,75.0,72.0,,70.0,93.0,92.0,350.0,,-11.2,-4.9
Harold Jamison,25.0,25.0,176.0,0.512,0.512,,0.512,0.667,0.544,0.349,0.0,115.0,110.0,,107.0,89.0,105.0,119.0,,3.0,2.4
Doug Overton,32.0,18.0,130.0,0.318,0.41200000000000003,0.259,0.39799999999999996,0.5710000000000001,0.414,0.159,0.614,71.0,88.0,73.0,83.0,76.0,80.0,54.0,338.0,-7.0,-10.0
Eldridge Recasner,34.0,5.0,31.0,0.33299999999999996,0.4,0.0,0.33299999999999996,1.0,0.38799999999999996,0.16699999999999998,0.16699999999999998,75.0,86.0,,70.0,133.0,75.0,57.0,92.0,-1.7,-1.7
Team,,,,0.446,0.46399999999999997,0.35600000000000004,0.47600000000000003,0.7390000000000001,0.519,0.304,0.172,100.0,100.0,101.0,100.0,98.0,100.0,104.0,95.0,-13.3,-18.5
League Average,,,,0.445,0.465,0.354,0.47700000000000004,0.752,0.52,0.293,0.18100000000000002,,,,,,,,,,
