PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Truck Robinson,29.0,82,,3088,647,1280,0.505,0,0,,647,1280,0.505,0.505,249,396,0.629,216,573,789,206,68,38,250,220,1543
Dennis Johnson,26.0,79,,2615,532,1220,0.436,11,51,0.21600000000000003,521,1169,0.446,0.441,411,501,0.82,160,203,363,291,136,61,208,244,1486
Jeff Cook,24.0,79,,2192,286,616,0.46399999999999997,0,5,0.0,286,611,0.46799999999999997,0.46399999999999997,100,155,0.645,170,297,467,201,82,54,146,236,672
Walter Davis,26.0,78,,2182,593,1101,0.539,7,17,0.41200000000000003,586,1084,0.541,0.542,209,250,0.836,63,137,200,302,97,12,222,192,1402
Alvan Adams,26.0,75,,2054,458,870,0.526,0,0,,458,870,0.526,0.526,199,259,0.768,157,389,546,344,106,69,226,226,1115
Johnny High,23.0,81,,1750,246,576,0.42700000000000005,2,24,0.083,244,552,0.442,0.429,183,264,0.693,89,139,228,202,129,26,188,251,677
Rich Kelley,27.0,81,,1686,196,387,0.506,0,2,0.0,196,385,0.509,0.506,175,231,0.758,131,310,441,282,79,63,209,210,567
Kyle Macy,23.0,82,,1469,272,532,0.511,12,51,0.235,260,481,0.541,0.523,107,119,0.899,44,88,132,160,76,5,95,120,663
Alvin Scott,25.0,82,,1423,173,348,0.49700000000000005,1,6,0.16699999999999998,172,342,0.503,0.499,97,127,0.764,101,167,268,114,60,70,77,124,444
Joel Kramer,25.0,82,,1065,136,258,0.527,0,1,0.0,136,257,0.529,0.527,63,91,0.6920000000000001,77,155,232,88,35,17,67,132,335
Mike Niles,25.0,44,,231,48,138,0.348,2,4,0.5,46,134,0.34299999999999997,0.355,17,37,0.45899999999999996,26,32,58,15,8,1,25,41,115
Team Totals,,82,,19755,3587,7326,0.49,35,161,0.217,3552,7165,0.496,0.49200000000000005,1810,2430,0.745,1234,2490,3724,2205,876,416,1733,1996,9019
