PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Johnny Davis,25.0,76,,2536,426,917,0.465,4,33,0.121,422,884,0.47700000000000004,0.467,238,299,0.7959999999999999,56,114,170,480,95,14,167,179,1094
Billy Knight,28.0,82,,2385,546,1025,0.5329999999999999,3,19,0.158,543,1006,0.54,0.534,341,410,0.8320000000000001,191,219,410,157,84,12,177,155,1436
Mike Bantom,29.0,76,,2375,431,882,0.489,0,6,0.0,431,876,0.49200000000000005,0.489,199,281,0.708,150,277,427,240,80,85,197,284,1061
James Edwards,25.0,81,,2375,511,1004,0.509,0,3,0.0,511,1001,0.51,0.509,244,347,0.703,191,380,571,212,32,128,164,304,1266
Dudley Bradley,23.0,82,,1867,265,559,0.474,2,16,0.125,263,543,0.484,0.47600000000000003,125,178,0.7020000000000001,70,123,193,188,186,37,122,236,657
George McGinnis,30.0,69,,1845,348,768,0.45299999999999996,0,7,0.0,348,761,0.457,0.45299999999999996,207,385,0.5379999999999999,164,364,528,210,99,28,221,242,903
Louis Orr,22.0,82,,1787,348,709,0.491,0,6,0.0,348,703,0.495,0.491,163,202,0.807,172,189,361,132,55,25,123,153,859
Clemon Johnson,24.0,81,,1643,235,466,0.504,0,1,0.0,235,465,0.505,0.504,112,189,0.593,173,295,468,144,44,119,121,185,582
Don Buse,30.0,58,,1095,114,287,0.397,19,58,0.32799999999999996,95,229,0.415,0.43,50,65,0.769,19,65,84,140,74,8,38,61,297
George Johnson,24.0,43,,930,182,394,0.462,0,5,0.0,182,389,0.46799999999999997,0.462,93,122,0.762,99,179,278,86,47,23,85,120,457
Jerry Sichting,24.0,47,,450,34,95,0.358,0,5,0.0,34,90,0.37799999999999995,0.358,25,32,0.7809999999999999,11,32,43,70,23,1,28,38,93
Tom Abernethy,26.0,29,,259,24,56,0.429,0,1,0.0,24,55,0.436,0.429,11,19,0.579,19,21,40,18,6,3,6,29,59
Kenny Natt,22.0,19,,149,25,77,0.325,2,8,0.25,23,69,0.33299999999999996,0.33799999999999997,7,11,0.636,9,6,15,10,5,1,10,18,59
Dick Miller,22.0,5,,34,2,6,0.33299999999999996,0,1,0.0,2,5,0.4,0.33299999999999996,0,0,,1,3,4,4,3,0,4,2,4
Team Totals,,82,,19730,3491,7245,0.48200000000000004,30,169,0.17800000000000002,3461,7076,0.489,0.484,1815,2540,0.715,1325,2267,3592,2091,833,484,1491,2006,8827
