Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",20.0,NBA,SG,77,,2795,8.3,15.7,0.53,0.1,0.5,0.23,8.2,15.1,0.54,6.2,7.6,0.81,2.7,7.1,9.8,9.3,3.1,0.7,5.0,3.6,22.9,,113,101
1981,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",21.0,NBA,SG,37,,1371,10.6,20.0,0.53,0.1,0.6,0.18,10.5,19.4,0.54,5.8,7.7,0.76,3.4,7.5,10.9,10.8,4.3,0.9,4.9,3.4,27.2,,115,98
1982,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",22.0,NBA,SG,78,77.0,2991,8.7,16.1,0.54,0.1,0.5,0.21,8.6,15.7,0.55,5.1,6.7,0.76,3.9,7.8,11.7,11.6,3.2,0.5,4.5,3.5,22.5,,118,102
1983,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",23.0,NBA,SG,79,79.0,2907,8.1,14.8,0.55,0.0,0.3,0.0,8.1,14.5,0.56,4.8,6.0,0.8,3.4,7.5,10.9,13.2,2.8,0.7,4.8,3.2,21.1,,119,103
1984,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",24.0,NBA,PG,67,66.0,2567,8.0,14.1,0.56,0.1,0.5,0.21,7.8,13.5,0.58,5.2,6.5,0.81,1.8,7.1,8.9,15.8,2.7,0.9,5.5,3.0,21.2,,118,105
1985,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",25.0,NBA,PG,77,77.0,2781,8.4,15.0,0.56,0.1,0.6,0.19,8.3,14.4,0.58,6.5,7.8,0.84,1.5,6.5,8.0,16.2,1.9,0.4,5.1,2.6,23.5,,123,107
1986,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",26.0,NBA,PG,72,70.0,2578,8.8,16.6,0.53,0.2,0.8,0.23,8.6,15.9,0.54,6.9,7.9,0.87,1.5,6.2,7.7,16.4,2.0,0.3,4.9,2.4,24.5,,122,106
1987,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",27.0,NBA,PG,80,80.0,2904,11.1,21.3,0.52,0.1,0.6,0.2,11.0,20.6,0.53,8.7,10.3,0.85,2.0,6.2,8.2,15.9,2.2,0.6,4.9,2.7,31.1,,124,106
1988,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",28.0,NBA,PG,72,70.0,2637,9.0,18.3,0.49,0.2,1.0,0.2,8.8,17.3,0.51,7.7,9.0,0.85,1.6,6.6,8.2,15.8,2.1,0.2,4.9,2.7,25.9,,118,107
1989,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",29.0,NBA,PG,77,77.0,2886,9.6,18.9,0.51,1.0,3.1,0.31,8.6,15.8,0.55,8.5,9.4,0.91,1.8,8.2,10.1,16.4,2.3,0.4,5.2,2.9,28.7,,125,105
1990,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",30.0,NBA,PG,79,79.0,2937,9.3,19.3,0.48,1.8,4.7,0.38,7.5,14.6,0.51,9.6,10.8,0.89,2.2,6.7,8.9,15.4,2.2,0.6,4.9,2.8,30.0,,126,106
1991,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",31.0,NBA,PG,79,79.0,2933,8.1,17.0,0.48,1.4,4.3,0.32,6.7,12.6,0.53,9.0,10.0,0.91,1.8,7.8,9.6,17.2,1.8,0.3,5.5,2.6,26.6,,124,105
1996,14,1503,LAL,Los Angeles Lakers,Magic Johnson,"August 14, 1959",36.0,NBA,PF,32,9.0,958,7.4,15.9,0.47,1.2,3.1,0.38,6.2,12.8,0.49,9.3,10.9,0.86,2.2,7.8,9.9,11.9,1.4,0.7,5.6,2.6,25.4,,117,107
