Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",23.0,NBA,C,3,3,96,7.9,15.8,0.5,0.0,0.0,,7.9,15.8,0.5,5.1,6.2,0.82,2.3,6.8,9.0,1.7,1.1,2.3,2.8,6.8,20.9,,109,115
1991,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",24.0,NBA,C,5,0,88,11.3,19.8,0.57,0.0,0.0,,11.3,19.8,0.57,3.8,4.3,0.88,2.1,7.5,9.7,1.1,0.5,3.8,2.7,12.3,26.3,,113,115
1992,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",25.0,NBA,C,3,1,28,7.3,20.1,0.36,0.0,0.0,,7.3,20.1,0.36,3.7,3.7,1.0,5.5,5.5,11.0,0.0,3.7,1.8,5.5,12.8,18.3,,79,114
1993,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",26.0,NBA,C,4,4,143,13.7,23.8,0.58,0.0,0.4,0.0,13.7,23.4,0.59,5.9,8.2,0.73,4.8,7.1,11.9,2.6,1.9,1.5,3.0,6.7,33.4,,118,108
1994,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",27.0,NBA,C,16,16,450,12.5,26.5,0.47,0.0,0.0,,12.5,26.5,0.47,6.1,7.5,0.81,2.8,7.4,10.2,3.8,1.2,1.1,5.2,7.8,31.1,,100,100
1995,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",28.0,NBA,C,17,17,546,12.8,23.4,0.55,0.1,0.1,1.0,12.7,23.3,0.55,8.7,10.8,0.8,3.2,8.8,12.0,3.4,0.5,1.4,3.4,7.4,34.4,,122,110
1996,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",29.0,NBA,C,5,5,166,14.6,26.8,0.55,0.0,0.0,,14.6,26.8,0.55,3.8,4.9,0.79,4.5,8.3,12.9,2.8,0.7,0.7,4.9,7.0,33.0,,110,105
1998,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",31.0,NBA,C,16,16,476,12.4,24.7,0.5,0.0,0.1,0.0,12.4,24.6,0.5,6.5,7.6,0.86,2.0,8.0,10.1,2.4,0.9,1.7,2.5,7.9,31.4,,111,104
1999,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",32.0,NBA,C,13,13,293,12.7,27.8,0.46,0.0,0.0,,12.7,27.8,0.46,3.6,3.8,0.95,3.0,9.3,12.3,1.7,1.1,2.8,4.7,9.6,28.9,,93,100
2000,12,2710,IND,Indiana Pacers,Rik Smits,"August 23, 1966",33.0,NBA,C,22,21,461,12.1,24.2,0.5,0.0,0.1,0.0,12.1,24.1,0.5,4.1,4.7,0.88,2.8,6.3,9.1,2.5,1.2,2.3,3.2,9.8,28.2,,104,105
