PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
LeBron James,27,23,983,30.3,0.5760000000000001,0.16899999999999998,0.466,6.8,20.5,13.8,28.1,2.4,1.3,11.8,33.4,,4.2,1.6,5.8,0.284,,8.1,2.5,10.5,3.1
Dwyane Wade,30,23,907,22.0,0.526,0.08,0.39,4.4,11.5,8.0,21.9,2.3,2.7,12.0,29.9,,1.8,1.3,3.1,0.165,,3.9,1.4,5.3,1.7
Mario Chalmers,25,23,819,13.2,0.555,0.442,0.28800000000000003,1.8,10.4,6.2,18.0,1.9,0.6,15.2,16.1,,1.2,0.9,2.1,0.122,,0.1,1.2,1.3,0.7
Shane Battier,33,23,768,8.5,0.547,0.7859999999999999,0.114,2.4,9.1,5.8,5.4,1.6,1.5,9.8,10.2,,0.8,0.8,1.5,0.09699999999999999,,-0.7,1.7,1.0,0.6
Udonis Haslem,31,22,452,10.6,0.513,0.0,0.39799999999999996,10.2,27.2,18.9,4.5,0.6,1.1,16.2,13.1,,0.4,0.7,1.0,0.111,,-2.2,0.5,-1.6,0.0
Chris Bosh,27,14,439,19.7,0.574,0.08800000000000001,0.35100000000000003,10.2,19.7,15.1,3.3,0.7,2.6,10.5,20.8,,1.1,0.6,1.7,0.183,,2.9,-0.4,2.5,0.5
Mike Miller,31,23,368,12.0,0.578,0.758,0.111,3.0,15.8,9.6,7.5,1.3,0.4,10.4,15.1,,0.6,0.4,1.0,0.136,,0.8,0.7,1.5,0.3
Joel Anthony,29,17,329,9.9,0.675,0.0,0.862,8.3,11.9,10.1,0.9,0.8,4.0,16.7,7.0,,0.6,0.4,0.9,0.138,,-1.6,2.0,0.4,0.2
James Jones,31,20,173,9.8,0.5379999999999999,0.698,0.233,3.6,10.3,7.0,1.8,0.9,0.5,7.8,14.2,,0.2,0.1,0.4,0.1,,-0.2,0.2,-0.1,0.1
Norris Cole,23,19,170,5.1,0.415,0.324,0.243,0.7,6.3,3.6,10.8,2.2,0.0,10.9,12.9,,-0.1,0.2,0.1,0.032,,-5.6,1.2,-4.3,-0.1
Ronny Turiaf,29,12,121,8.4,0.504,0.0,0.611,11.3,19.6,15.5,1.3,0.5,5.4,20.8,11.4,,0.0,0.2,0.2,0.075,,-4.1,1.4,-2.7,0.0
Juwan Howard,38,9,24,5.4,0.4,0.0,0.5710000000000001,0.0,4.9,2.5,0.0,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,-0.006,,-3.5,-3.1,-6.6,0.0
Terrel Harris,24,4,10,23.3,0.665,0.5,2.0,0.0,35.5,18.2,0.0,0.0,0.0,0.0,18.0,,0.1,0.0,0.1,0.316,,1.7,0.8,2.5,0.0
Dexter Pittman,23,3,8,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,10.2,0.0,12.0,,0.0,0.0,0.0,-0.17,,-9.9,3.8,-6.1,0.0
