Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,24,2291,PHO,Phoenix Suns,Wesley Person,"March 28, 1971",23.0,NBA,SG,10.0,10.0,247.0,5.0,12.1,0.41,2.5,6.6,0.38,2.5,5.5,0.45,1.6,1.7,0.92,1.3,1.7,3.1,1.6,0.4,0.3,1.3,2.8,14.0
1996,24,2291,PHO,Phoenix Suns,Wesley Person,"March 28, 1971",24.0,NBA,SG,4.0,4.0,183.0,4.3,11.0,0.39,1.8,5.7,0.31,2.6,5.3,0.48,0.8,1.0,0.8,1.6,3.0,4.5,0.6,0.6,0.2,1.0,1.4,11.2
1997,24,2291,PHO,Phoenix Suns,Wesley Person,"March 28, 1971",25.0,NBA,SG,5.0,1.0,163.0,5.5,11.7,0.47,3.1,7.3,0.42,2.4,4.4,0.55,3.1,4.0,0.78,1.1,6.2,7.3,1.3,0.9,0.7,0.9,1.1,17.2
1998,6,2291,CLE,Cleveland Cavaliers,Wesley Person,"March 28, 1971",26.0,NBA,SG,4.0,4.0,136.0,2.9,7.7,0.38,1.9,5.0,0.37,1.1,2.6,0.4,0.8,1.1,0.75,0.5,1.9,2.4,2.6,0.8,0.0,0.3,1.3,8.5
2005,8,2291,DEN,Denver Nuggets,Wesley Person,"March 28, 1971",33.0,NBA,SF,4.0,0.0,54.0,4.0,9.3,0.43,2.0,5.3,0.38,2.0,4.0,0.5,0.0,0.0,,0.7,0.0,0.7,0.7,0.7,0.0,0.7,0.0,10.0
