SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,14,LAL,Los Angeles Lakers,82,241.8,46.8,89.5,0.52,1.7,5.0,0.34,45.1,84.6,0.53,22.1,28.4,0.78,13.4,31.2,44.6,29.7,8.5,5.1,17.9,24.8,117.3
1986,7,DAL,Dallas Mavericks,82,241.5,44.3,88.5,0.5,1.7,5.4,0.32,42.6,83.0,0.51,25.0,32.2,0.78,12.9,29.9,42.8,25.7,7.4,4.5,15.7,21.1,115.3
1986,25,POR,Portland Trail Blazers,82,242.1,44.0,88.8,0.5,0.9,3.4,0.27,43.1,85.4,0.5,26.1,34.1,0.76,14.1,28.2,42.3,26.6,10.5,4.3,18.6,26.9,115.1
1986,8,DEN,Denver Nuggets,82,240.9,45.2,96.0,0.47,0.9,3.7,0.23,44.3,92.2,0.48,23.5,29.5,0.8,14.9,28.3,43.2,26.1,10.1,5.1,16.3,26.4,114.8
1986,17,MIL,Milwaukee Bucks,82,241.5,43.9,89.1,0.49,1.5,4.7,0.33,42.4,84.5,0.5,25.2,32.9,0.76,14.5,29.5,44.0,26.3,9.8,5.6,16.7,27.0,114.5
1986,11,HOU,Houston Rockets,82,240.9,45.8,93.5,0.49,1.0,3.8,0.27,44.8,89.8,0.5,21.7,29.7,0.73,16.0,29.7,45.7,28.3,9.1,6.7,16.8,24.3,114.4
1986,9,DET,Detroit Pistons,82,241.2,45.8,94.5,0.48,0.7,2.2,0.3,45.1,92.3,0.49,22.0,28.0,0.78,15.6,30.0,45.6,28.3,9.0,4.1,16.4,25.6,114.2
1986,2,BOS,Boston Celtics,82,242.1,45.3,89.2,0.51,1.7,4.8,0.35,43.7,84.4,0.52,21.8,27.4,0.79,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1
1986,10,GSW,Golden State Warriors,82,241.2,44.5,92.3,0.48,1.1,3.4,0.31,43.5,88.9,0.49,23.3,30.7,0.76,15.5,28.6,44.1,24.6,9.2,4.3,17.1,24.8,113.4
1986,27,SAS,San Antonio Spurs,82,241.5,43.9,86.6,0.51,0.6,2.4,0.24,43.3,84.2,0.51,23.0,30.8,0.75,13.0,29.4,42.5,27.6,9.8,4.8,19.8,25.8,111.2
1986,23,PHI,Philadelphia 76Ers,82,242.7,41.9,86.1,0.49,0.6,2.7,0.23,41.3,83.3,0.5,26.0,34.3,0.76,16.2,29.0,45.2,24.6,10.5,6.0,19.5,21.9,110.4
1986,24,PHO,Phoenix Suns,82,241.5,42.9,85.3,0.5,0.5,2.2,0.21,42.4,83.0,0.51,23.8,32.7,0.73,12.6,29.9,42.5,27.7,9.4,4.6,21.5,27.6,110.0
1986,5,CHI,Chicago Bulls,82,242.1,42.4,88.1,0.48,1.1,3.9,0.28,41.3,84.3,0.49,23.4,30.5,0.77,15.6,27.8,43.4,24.5,7.4,4.9,17.5,26.4,109.3
1986,3,NJN,New Jersey Nets,82,241.5,43.3,89.0,0.49,0.5,2.6,0.2,42.7,86.4,0.5,22.1,29.2,0.76,14.4,30.3,44.7,26.0,9.1,4.2,19.2,26.0,109.1
1986,26,SAC,Sacramento Kings,82,241.2,43.1,88.0,0.49,0.4,1.6,0.22,42.8,86.4,0.5,22.2,28.5,0.78,13.8,29.0,42.8,28.1,7.3,4.7,18.7,26.0,108.8
1986,13,LAC,Los Angeles Clippers,82,240.9,41.3,87.4,0.47,0.8,2.8,0.28,40.5,84.6,0.48,25.2,32.7,0.77,14.1,27.5,41.7,24.0,8.5,6.1,18.4,23.5,108.6
1986,1,ALT,Atlanta Hawks,82,241.5,42.0,85.7,0.49,0.4,2.0,0.2,41.6,83.7,0.5,24.1,33.0,0.73,15.2,29.3,44.6,24.7,9.0,5.3,18.1,26.5,108.6
1986,29,UTA,Utah Jazz,82,241.2,42.1,86.4,0.49,0.4,2.1,0.21,41.7,84.3,0.49,23.5,32.9,0.72,13.0,30.2,43.3,26.8,8.7,8.1,18.5,24.9,108.2
1986,6,CLE,Cleveland Cavaliers,82,241.2,42.4,88.3,0.48,1.6,4.8,0.34,40.8,83.5,0.49,21.3,28.4,0.75,13.2,29.9,43.2,25.2,7.6,5.3,17.2,27.6,107.8
1986,21,SEA,Seattle Supersonics,82,243.0,40.7,86.1,0.47,1.0,3.7,0.26,39.7,82.4,0.48,22.1,28.4,0.78,14.0,27.5,41.5,24.1,9.1,3.6,17.5,26.4,104.4
1986,12,IND,Indiana Pacers,82,240.9,42.0,87.2,0.48,0.3,1.7,0.16,41.7,85.5,0.49,19.7,26.6,0.74,13.9,31.9,45.7,26.3,8.0,4.6,18.5,26.0,103.9
1986,30,WAB,Washington Bullets,82,242.1,40.4,87.2,0.46,1.4,5.0,0.28,39.0,82.2,0.47,20.8,27.9,0.74,13.0,29.7,42.7,21.3,7.6,8.7,16.4,21.9,103.0
1986,20,NYK,New York Knicks,82,241.5,39.5,85.8,0.46,1.0,2.9,0.34,38.5,82.9,0.46,18.7,27.3,0.69,13.2,26.5,39.6,22.9,8.7,3.8,17.5,27.0,98.7
