SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,25,POR,Damian Lillard,22.0,82,82.0,3167,553,1288,0.43,185,503,0.37,368,785,0.47,0.5,271,321,0.84,42,215,257,531,74,19,243,172,1562
2013,25,POR,Nicolas Batum,24.0,73,73.0,2807,352,833,0.42,165,444,0.37,187,389,0.48,0.52,178,210,0.85,97,315,412,360,91,83,190,139,1047
2013,25,POR,LaMarcus Aldridge,27.0,74,74.0,2790,638,1318,0.48,2,14,0.14,636,1304,0.49,0.48,282,348,0.81,175,495,670,192,62,91,143,187,1560
2013,25,POR,Wesley Matthews,26.0,69,69.0,2403,352,808,0.44,169,425,0.4,183,383,0.48,0.54,149,187,0.8,35,156,191,174,90,18,109,172,1022
2013,25,POR,J.J. Hickson,24.0,80,80.0,2323,418,744,0.56,0,2,0.0,418,742,0.56,0.56,182,268,0.68,266,562,828,88,48,51,145,160,1018
2013,25,POR,Meyers Leonard,20.0,69,9.0,1206,151,277,0.55,3,7,0.43,148,270,0.55,0.55,72,89,0.81,80,175,255,33,11,38,49,168,377
2013,25,POR,Will Barton,22.0,73,5.0,894,118,309,0.38,9,65,0.14,109,244,0.45,0.4,50,65,0.77,36,109,145,58,34,9,60,56,295
2013,25,POR,Victor Claver,24.0,49,16.0,812,74,189,0.39,25,87,0.29,49,102,0.48,0.46,14,30,0.47,31,88,119,43,26,12,43,75,187
2013,25,POR,Luke Babbitt,23.0,62,0.0,730,86,234,0.37,62,178,0.35,24,56,0.43,0.5,10,13,0.77,15,122,137,29,14,5,22,82,244
2013,25,POR,Eric Maynor,25.0,27,0.0,572,70,166,0.42,19,50,0.38,51,116,0.44,0.48,28,41,0.68,4,24,28,109,12,1,48,36,187
2013,25,POR,Sasha PavloviA,29.0,39,1.0,528,42,119,0.35,18,60,0.3,24,59,0.41,0.43,1,6,0.17,7,49,56,32,24,5,14,59,103
2013,25,POR,Ronnie Price,29.0,39,0.0,510,39,120,0.32,10,39,0.26,29,81,0.36,0.37,17,24,0.71,13,31,44,73,26,3,34,61,105
2013,25,POR,Joel Freeland,25.0,51,1.0,477,58,142,0.41,0,0,,58,142,0.41,0.41,18,27,0.67,40,79,119,13,13,11,19,67,134
2013,25,POR,Jared Jeffries,31.0,38,0.0,350,16,54,0.3,0,2,0.0,16,52,0.31,0.3,12,23,0.52,26,34,60,14,6,6,17,58,44
2013,25,POR,Nolan Smith,24.0,40,0.0,288,42,114,0.37,6,28,0.21,36,86,0.42,0.4,20,28,0.71,7,20,27,35,7,1,29,26,110
2013,25,POR,Team Totals,,82,,19855,3009,6715,0.45,673,1904,0.35,2336,4811,0.49,0.5,1304,1680,0.78,874,2474,3348,1784,538,353,1203,1518,7995
