Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1981,8,DEN,Denver Nuggets,Alex English,27,81,,38.2,9.5,19.2,0.49,0.0,0.1,0.6,9.4,19.1,0.49,0.5,4.8,5.7,0.85,3.4,4.6,8.0,3.6,1.3,1.2,3.0,3.1,23.8
1981,8,DEN,Denver Nuggets,David Thompson,26,77,,34.0,9.5,18.8,0.51,0.1,0.5,0.26,9.4,18.3,0.51,0.51,6.4,8.0,0.8,1.4,2.3,3.7,3.0,0.7,0.8,3.2,3.0,25.5
1981,8,DEN,Denver Nuggets,Dan Issel,32,80,,33.0,7.7,15.3,0.5,0.0,0.2,0.17,7.7,15.1,0.51,0.5,6.5,8.6,0.76,2.9,5.6,8.5,2.0,1.0,0.7,1.6,3.1,21.9
1981,8,DEN,Denver Nuggets,Kiki Vandeweghe,22,51,,27.0,4.5,10.5,0.43,0.0,0.1,0.0,4.5,10.4,0.43,0.43,2.5,3.1,0.82,1.7,3.6,5.3,1.8,0.6,0.5,1.7,2.3,11.5
1981,8,DEN,Denver Nuggets,Dave Robisch,31,73,,23.9,4.0,8.8,0.46,0.0,0.0,,4.0,8.8,0.46,0.46,2.3,2.9,0.81,1.8,3.9,5.7,1.8,0.4,0.4,0.9,2.1,10.4
1981,8,DEN,Denver Nuggets,Kenny Higgs,26,72,,23.5,2.9,6.6,0.44,0.1,0.5,0.12,2.8,6.1,0.47,0.44,1.9,2.4,0.81,0.3,1.7,2.0,5.7,1.4,0.1,2.3,3.4,7.8
1981,8,DEN,Denver Nuggets,Cedrick Hordges,24,68,,23.5,3.3,7.1,0.46,0.0,0.0,0.0,3.3,7.0,0.46,0.46,1.9,2.7,0.7,1.8,5.0,6.7,1.5,0.5,0.3,1.8,3.3,8.4
1981,8,DEN,Denver Nuggets,John Roche,31,26,,23.5,3.2,6.9,0.46,0.3,1.0,0.33,2.8,5.8,0.48,0.48,2.2,3.0,0.75,0.2,1.2,1.4,5.4,0.7,0.3,2.0,1.7,8.9
1981,8,DEN,Denver Nuggets,Billy McKinney,25,49,,23.1,4.1,8.4,0.49,0.0,0.2,0.1,4.1,8.2,0.5,0.49,2.4,2.9,0.84,0.5,1.8,2.2,4.1,1.2,0.1,1.8,2.5,10.7
1981,8,DEN,Denver Nuggets,Kim Hughes,28,8,,19.9,1.4,3.1,0.44,0.0,0.0,,1.4,3.1,0.44,0.44,0.1,0.3,0.5,2.4,3.9,6.3,1.4,1.4,1.8,1.4,4.1,2.9
1981,8,DEN,Denver Nuggets,Carl Nicks,22,27,,18.3,2.4,5.5,0.44,0.0,0.0,0.0,2.4,5.5,0.44,0.44,1.3,2.2,0.59,0.5,1.3,1.8,3.0,1.0,0.1,2.3,1.9,6.1
1981,8,DEN,Denver Nuggets,T.R. Dunn,25,82,,17.4,1.8,4.3,0.41,0.0,0.0,0.0,1.8,4.3,0.42,0.41,1.0,1.5,0.65,1.6,2.0,3.7,1.0,0.8,0.4,0.7,1.7,4.5
1981,8,DEN,Denver Nuggets,Glen Gondrezick,25,73,,14.8,2.1,4.5,0.47,0.0,0.0,0.0,2.1,4.5,0.47,0.47,1.5,1.9,0.82,1.9,2.3,4.2,1.1,1.2,0.3,0.9,2.5,5.8
1981,8,DEN,Denver Nuggets,James Ray,23,18,,8.2,0.8,2.7,0.31,0.0,0.1,0.0,0.8,2.7,0.31,0.31,0.4,0.6,0.7,0.7,1.3,2.1,0.6,0.2,0.2,0.7,1.7,2.1
1981,8,DEN,Denver Nuggets,Jawann Oldham,23,4,,5.3,0.5,1.5,0.33,0.0,0.0,,0.5,1.5,0.33,0.33,0.0,0.0,,0.8,0.5,1.3,0.0,0.0,0.5,0.5,0.8,1.0
1981,8,DEN,Denver Nuggets,Ronnie Valentine,23,24,,5.1,1.5,4.1,0.38,0.0,0.1,0.5,1.5,4.0,0.38,0.38,0.4,0.8,0.47,0.4,0.8,1.3,0.3,0.3,0.2,0.7,1.0,3.5
