Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1981,PHI,Julius Erving,1,454.0,690,0.658,MVP
1981,BOS,Larry Bird,2,423.0,690,0.613,MVP
1981,LAL,Kareem Abdul-Jabbar,3,286.0,690,0.414,MVP
1981,HOU,Moses Malone,4,180.0,690,0.261,MVP
1981,SAS,George Gervin,5,83.0,690,0.12,MVP
1981,MIL,Marques Johnson,6,73.0,690,0.106,MVP
1981,BOS,Robert Parish,7,53.0,690,0.077,MVP
1981,PHO,Dennis Johnson,8,50.0,690,0.072,MVP
1981,BOS,Tiny Archibald,9,32.0,690,0.046,MVP
1981,LAL,Jamaal Wilkes,10,19.0,690,0.028,MVP
1981,LAL,Magic Johnson,11,18.0,690,0.026,MVP
1981,UTA,Adrian Dantley,12T,15.0,690,0.022,MVP
1981,KCK,Phil Ford,12T,15.0,690,0.022,MVP
1981,GSW,Bernard King,14,12.0,690,0.017,MVP
1981,POR,Kelvin Ransey,15T,11.0,690,0.016,MVP
1981,SEA,Jack Sikma,15T,11.0,690,0.016,MVP
1981,KCK,Otis Birdsong,17T,7.0,690,0.01,MVP
1981,NYK,Micheal Ray Richardson,17T,7.0,690,0.01,MVP
1981,PHO,Truck Robinson,19T,6.0,690,0.009,MVP
1981,CHI,Reggie Theus,19T,6.0,690,0.009,MVP
1981,LAL,Norm Nixon,21,5.0,690,0.007,MVP
1981,CHI,Artis Gilmore,22T,4.0,690,0.006,MVP
1981,MIL,Bob Lanier,22T,4.0,690,0.006,MVP
1981,LAL,Michael Cooper,24T,3.0,690,0.004,MVP
1981,PHO,Walter Davis,24T,3.0,690,0.004,MVP
1981,SAS,George Johnson,24T,3.0,690,0.004,MVP
1981,PHI,Bobby Jones,24T,3.0,690,0.004,MVP
1981,CLE,Mike Mitchell,24T,3.0,690,0.004,MVP
1981,SAS,James Silas,24T,3.0,690,0.004,MVP
1981,MIL,Quinn Buckner,30T,1.0,690,0.001,MVP
1981,PHI,Caldwell Jones,30T,1.0,690,0.001,MVP
