Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,14,1814,LAL,Los Angeles Lakers,Mark Madsen,1976-01-28,25.0,NBA,PF,70.0,3.0,9.2,0.8,1.6,0.49,0.0,0.0,1.0,0.8,1.6,0.48,0.49,0.4,0.5,0.7,1.1,1.1,2.2,0.3,0.1,0.1,0.4,1.6,2.0
2002,14,1814,LAL,Los Angeles Lakers,Mark Madsen,1976-01-28,26.0,NBA,PF,59.0,5.0,11.0,1.1,2.5,0.45,0.0,0.0,0.0,1.1,2.4,0.46,0.45,0.6,0.9,0.65,1.5,1.2,2.7,0.7,0.3,0.2,0.4,1.8,2.8
2003,14,1814,LAL,Los Angeles Lakers,Mark Madsen,1976-01-28,27.0,NBA,PF,54.0,22.0,14.5,1.3,3.0,0.42,0.0,0.0,,1.3,3.0,0.42,0.42,0.7,1.1,0.59,1.6,1.4,2.9,0.7,0.3,0.4,0.5,2.1,3.2
2004,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,28.0,NBA,C,72.0,12.0,17.3,1.4,2.8,0.5,0.0,0.1,0.0,1.4,2.8,0.51,0.5,0.8,1.6,0.48,1.9,1.9,3.8,0.4,0.5,0.3,0.7,2.4,3.6
2005,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,29.0,NBA,C,41.0,14.0,14.7,0.8,1.6,0.52,0.0,0.0,,0.8,1.6,0.52,0.52,0.5,1.0,0.5,1.5,1.6,3.1,0.4,0.2,0.3,0.6,2.5,2.1
2006,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,30.0,NBA,C,62.0,7.0,10.9,0.4,1.1,0.41,0.0,0.1,0.0,0.4,1.0,0.46,0.41,0.3,0.8,0.43,0.8,1.5,2.3,0.2,0.4,0.3,0.4,1.8,1.2
2007,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,31.0,NBA,C,56.0,0.0,8.4,0.4,0.8,0.54,0.0,0.0,,0.4,0.8,0.54,0.54,0.3,0.5,0.52,0.6,0.9,1.6,0.2,0.2,0.2,0.4,1.8,1.1
2008,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,32.0,NBA,PF,20.0,6.0,7.6,0.2,1.0,0.16,0.0,0.0,,0.2,1.0,0.16,0.16,0.2,0.6,0.25,0.9,1.0,1.9,0.2,0.2,0.1,0.5,1.3,0.5
2009,18,1814,MIN,Minnesota Timberwolves,Mark Madsen,1976-01-28,33.0,NBA,C,19.0,1.0,6.1,0.2,0.7,0.21,0.0,0.0,,0.2,0.7,0.21,0.21,0.0,0.2,0.0,0.5,0.4,0.9,0.2,0.1,0.1,0.2,0.9,0.3
