Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,5,2836,CHI,Chicago Bulls,Reggie Theus,"October 13, 1957",22.0,NBA,SG,82.0,,3029.0,566.0,1172.0,0.48,28.0,105.0,0.27,538.0,1067.0,0.5,0.5,500.0,597.0,0.84,143.0,186.0,329.0,515.0,114.0,20.0,348.0,262.0,1660.0,,1.0
1981,5,2836,CHI,Chicago Bulls,Reggie Theus,"October 13, 1957",23.0,NBA,SG,82.0,,2820.0,543.0,1097.0,0.5,18.0,90.0,0.2,525.0,1007.0,0.52,0.5,445.0,550.0,0.81,124.0,163.0,287.0,426.0,122.0,20.0,259.0,258.0,1549.0,,0.0
1982,5,2836,CHI,Chicago Bulls,Reggie Theus,"October 13, 1957",24.0,NBA,SG,82.0,82.0,2838.0,560.0,1194.0,0.47,25.0,100.0,0.25,535.0,1094.0,0.49,0.48,363.0,449.0,0.81,115.0,197.0,312.0,476.0,87.0,16.0,277.0,243.0,1508.0,,0.0
1983,5,2836,CHI,Chicago Bulls,Reggie Theus,"October 13, 1957",25.0,NBA,PG,82.0,81.0,2856.0,749.0,1567.0,0.48,21.0,91.0,0.23,728.0,1476.0,0.49,0.48,434.0,542.0,0.8,91.0,209.0,300.0,484.0,143.0,17.0,321.0,281.0,1953.0,,0.0
1984,31,2836,TOT,Total After Trade,Reggie Theus,"October 13, 1957",26.0,NBA,PG,61.0,35.0,1498.0,262.0,625.0,0.42,7.0,42.0,0.17,255.0,583.0,0.44,0.42,214.0,281.0,0.76,50.0,79.0,129.0,352.0,50.0,12.0,156.0,171.0,745.0,,0.0
1984,5,2836,CHI,Chicago Bulls,Reggie Theus,"October 13, 1957",26.0,NBA,PG,31.0,5.0,601.0,92.0,237.0,0.39,3.0,15.0,0.2,89.0,222.0,0.4,0.4,84.0,108.0,0.78,21.0,25.0,46.0,142.0,21.0,3.0,59.0,78.0,271.0,,0.0
1984,26,2836,KCK,Kansas City Kings,Reggie Theus,"October 13, 1957",26.0,NBA,PG,30.0,30.0,897.0,170.0,388.0,0.44,4.0,27.0,0.15,166.0,361.0,0.46,0.44,130.0,173.0,0.75,29.0,54.0,83.0,210.0,29.0,9.0,97.0,93.0,474.0,,0.0
1985,26,2836,KCK,Kansas City Kings,Reggie Theus,"October 13, 1957",27.0,NBA,SG,82.0,80.0,2543.0,501.0,1029.0,0.49,5.0,38.0,0.13,496.0,991.0,0.5,0.49,334.0,387.0,0.86,106.0,164.0,270.0,656.0,95.0,18.0,307.0,250.0,1341.0,,0.0
1986,26,2836,SAC,Sacramento Kings,Reggie Theus,"October 13, 1957",28.0,NBA,SG,82.0,82.0,2919.0,546.0,1137.0,0.48,6.0,35.0,0.17,540.0,1102.0,0.49,0.48,405.0,490.0,0.83,73.0,231.0,304.0,788.0,112.0,20.0,327.0,231.0,1503.0,,1.0
1987,26,2836,SAC,Sacramento Kings,Reggie Theus,"October 13, 1957",29.0,NBA,PG,79.0,76.0,2872.0,577.0,1223.0,0.47,17.0,78.0,0.22,560.0,1145.0,0.49,0.48,429.0,495.0,0.87,86.0,180.0,266.0,692.0,78.0,16.0,289.0,208.0,1600.0,,0.0
1988,26,2836,SAC,Sacramento Kings,Reggie Theus,"October 13, 1957",30.0,NBA,SG,73.0,73.0,2653.0,619.0,1318.0,0.47,16.0,59.0,0.27,603.0,1259.0,0.48,0.48,320.0,385.0,0.83,72.0,160.0,232.0,463.0,59.0,16.0,234.0,173.0,1574.0,,0.0
1989,1,2836,ATL,Atlanta Hawks,Reggie Theus,"October 13, 1957",31.0,NBA,SG,82.0,82.0,2517.0,497.0,1067.0,0.47,17.0,58.0,0.29,480.0,1009.0,0.48,0.47,285.0,335.0,0.85,86.0,156.0,242.0,387.0,108.0,16.0,194.0,236.0,1296.0,,0.0
1990,22,2836,ORL,Orlando Magic,Reggie Theus,"October 13, 1957",32.0,NBA,SG,76.0,71.0,2350.0,517.0,1178.0,0.44,26.0,105.0,0.25,491.0,1073.0,0.46,0.45,378.0,443.0,0.85,75.0,146.0,221.0,407.0,60.0,12.0,226.0,194.0,1438.0,,0.0
1991,3,2836,NJN,New Jersey Nets,Reggie Theus,"October 13, 1957",33.0,NBA,SG,81.0,81.0,2955.0,583.0,1247.0,0.47,52.0,144.0,0.36,531.0,1103.0,0.48,0.49,292.0,343.0,0.85,69.0,160.0,229.0,378.0,85.0,35.0,252.0,231.0,1510.0,,0.0
