Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2002,SAS,Tim Duncan,1,954.0,1260,0.757,MVP
2002,NJN,Jason Kidd,2,897.0,1260,0.712,MVP
2002,LAL,Shaquille O'Neal,3,696.0,1260,0.552,MVP
2002,ORL,Tracy McGrady,4,390.0,1260,0.31,MVP
2002,LAL,Kobe Bryant,5,98.0,1260,0.078,MVP
2002,SEA,Gary Payton,6,54.0,1260,0.043,MVP
2002,SAC,Chris Webber,7,37.0,1260,0.029,MVP
2002,DAL,Dirk Nowitzki,8,31.0,1260,0.025,MVP
2002,PHI,Allen Iverson,9,29.0,1260,0.023,MVP
2002,DET,Ben Wallace,10,24.0,1260,0.019,MVP
2002,BOS,Paul Pierce,11,22.0,1260,0.017,MVP
2002,MIN,Kevin Garnett,12,17.0,1260,0.013,MVP
2002,WAS,Michael Jordan,13,16.0,1260,0.013,MVP
2002,DAL,Steve Nash,14,5.0,1260,0.004,MVP
2002,DET,Jerry Stackhouse,15,3.0,1260,0.002,MVP
2002,SAC,Mike Bibby,16T,1.0,1260,0.001,MVP
2002,LAC,Elton Brand,16T,1.0,1260,0.001,MVP
2002,SAC,Peja Stojakovic,16T,1.0,1260,0.001,MVP
