Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,22.0,PHI,NBA,SG,79.0,79.0,2577.0,8.4,18.4,0.455,1.3,3.1,0.428,7.0,15.2,0.461,4.6,5.5,0.831,1.0,3.3,4.3,4.5,2.3,0.7,3.0,3.5,22.6,,108.0,112.0
1990,23.0,PHI,NBA,SG,82.0,82.0,2856.0,9.1,19.8,0.46,1.5,3.5,0.42,7.6,16.3,0.468,6.7,7.6,0.888,1.5,3.8,5.3,4.5,2.3,0.5,3.2,3.8,26.4,,114.0,109.0
1991,24.0,PHI,NBA,SG,80.0,80.0,3110.0,9.5,20.2,0.472,1.7,4.4,0.4,7.8,15.8,0.491,7.7,8.9,0.871,0.8,4.2,5.0,4.8,2.9,0.6,3.4,2.9,28.5,,114.0,108.0
1992,25.0,PHI,NBA,SG,81.0,81.0,3013.0,8.9,19.2,0.462,1.5,3.9,0.397,7.3,15.3,0.479,6.8,7.8,0.874,0.9,3.7,4.6,4.2,2.7,0.7,3.2,3.0,26.1,,114.0,110.0
1993,26.0,PHI,NBA,SG,81.0,81.0,2977.0,9.0,19.2,0.47,2.0,5.0,0.397,7.0,14.2,0.496,6.9,8.0,0.86,1.5,4.2,5.7,5.2,2.2,0.5,2.9,3.1,26.9,,117.0,111.0
1994,27.0,CHH,NBA,SG,82.0,82.0,2648.0,7.3,16.0,0.46,1.4,4.4,0.332,5.9,11.6,0.508,5.8,6.7,0.862,1.7,5.4,7.0,4.0,2.5,0.4,2.9,3.1,21.9,,113.0,108.0
1995,28.0,CHH,NBA,SG,82.0,82.0,2731.0,7.5,15.6,0.482,2.5,5.7,0.44,5.0,9.9,0.507,5.0,5.8,0.867,1.2,4.9,6.1,5.1,2.4,0.3,2.9,3.4,22.6,,118.0,107.0
1996,29.0,SEA,NBA,SG,82.0,82.0,2823.0,8.0,17.0,0.473,2.6,6.9,0.384,5.4,10.1,0.534,4.5,5.2,0.874,1.6,3.8,5.4,3.9,2.7,0.3,3.0,3.1,23.2,,116.0,104.0
1997,30.0,SEA,NBA,SG,82.0,82.0,2755.0,7.1,15.3,0.464,2.8,6.8,0.403,4.4,8.5,0.514,5.0,5.7,0.875,1.8,4.4,6.2,4.8,3.1,0.2,2.5,2.8,22.0,,123.0,104.0
1998,31.0,SEA,NBA,SG,82.0,82.0,2597.0,5.8,13.1,0.44,2.6,6.2,0.415,3.2,6.9,0.463,3.6,4.2,0.868,1.5,5.4,6.9,4.5,3.0,0.3,2.1,3.1,17.7,,119.0,103.0
1999,32.0,SEA,NBA,SG,50.0,34.0,1644.0,5.6,13.3,0.419,1.8,5.9,0.306,3.8,7.4,0.509,3.9,4.3,0.902,1.7,4.9,6.5,4.0,2.6,0.6,2.6,2.9,16.8,,110.0,106.0
2001,34.0,CHH,NBA,SG,59.0,0.0,681.0,4.4,10.8,0.409,1.3,3.6,0.37,3.1,7.2,0.429,4.3,5.0,0.857,1.3,5.0,6.3,5.7,2.6,0.7,1.5,3.5,14.4,,120.0,100.0
