Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",22.0,NBA,SG,79.0,20.0,1519.0,6.4,15.9,0.4,0.8,2.8,0.3,5.6,13.1,0.43,2.1,2.6,0.82,0.5,2.4,2.8,2.4,0.8,0.3,2.3,3.9,15.8
1995,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",23.0,NBA,SG,76.0,39.0,1996.0,7.2,15.5,0.46,2.8,6.7,0.42,4.3,8.8,0.49,2.7,3.1,0.86,0.5,2.5,3.0,3.0,1.1,0.3,2.0,3.3,19.9
1996,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",24.0,NBA,SG,82.0,75.0,3072.0,6.6,14.6,0.45,2.2,5.2,0.43,4.4,9.3,0.47,3.5,4.2,0.82,0.6,2.9,3.5,2.9,0.7,0.2,2.7,2.7,18.9
1997,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",25.0,NBA,SG,81.0,81.0,2681.0,5.9,13.9,0.42,2.0,5.2,0.38,3.9,8.7,0.45,2.3,2.9,0.8,0.6,2.6,3.2,2.4,0.6,0.2,2.2,3.1,16.1
1998,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",26.0,NBA,SG,82.0,82.0,2848.0,7.2,16.1,0.45,1.0,2.7,0.38,6.2,13.4,0.46,3.6,4.2,0.85,0.5,2.9,3.5,2.7,0.8,0.3,2.5,2.6,19.1
1999,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",27.0,NBA,SG,50.0,50.0,1815.0,5.8,13.9,0.42,1.1,2.8,0.41,4.7,11.2,0.42,3.3,3.9,0.86,0.4,2.6,3.0,2.7,0.7,0.2,2.6,2.3,16.1
2000,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",28.0,NBA,SG,82.0,82.0,3169.0,7.0,14.4,0.48,1.2,2.8,0.44,5.8,11.7,0.49,3.2,3.8,0.84,0.4,2.6,3.1,2.5,0.7,0.2,2.1,2.5,18.3
2001,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",29.0,NBA,SG,78.0,78.0,2858.0,6.8,15.2,0.45,1.2,3.2,0.38,5.6,12.0,0.47,3.5,3.9,0.91,0.3,3.3,3.6,2.2,0.7,0.1,2.0,2.4,18.4
2002,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",30.0,NBA,SG,77.0,77.0,2914.0,7.0,16.1,0.44,1.7,4.3,0.39,5.3,11.8,0.45,3.6,4.2,0.87,0.5,2.7,3.1,2.3,0.7,0.1,2.1,2.2,19.4
2003,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",31.0,NBA,SG,82.0,82.0,3108.0,7.6,17.0,0.44,2.1,5.2,0.4,5.5,11.8,0.47,4.2,4.6,0.92,0.3,2.4,2.7,2.5,0.6,0.1,2.1,2.2,21.4
2004,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",32.0,NBA,SG,50.0,50.0,1799.0,6.8,15.6,0.44,1.7,4.0,0.43,5.1,11.6,0.44,3.1,3.4,0.91,0.4,2.0,2.4,2.0,0.8,0.0,2.0,2.1,18.5
2005,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",33.0,NBA,SG,20.0,11.0,532.0,5.8,13.9,0.42,2.1,5.4,0.39,3.7,8.5,0.43,2.4,2.9,0.84,0.3,1.3,1.6,2.8,0.5,0.1,1.4,2.7,16.0
