PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Kenny Anderson,23,4,4,181,5.7,16.1,0.35200000000000004,0.9,3.0,0.3,4.8,13.1,0.364,6.6,9.8,0.667,0.6,3.0,3.6,8.0,2.7,0.0,2.7,3.3,18.8,,101,104
Derrick Coleman,26,4,4,173,8.4,21.2,0.397,1.6,2.8,0.556,6.9,18.4,0.373,12.2,15.6,0.78,5.9,11.8,17.8,3.1,0.6,1.6,5.6,3.7,30.5,,105,100
Kevin Edwards,28,4,4,148,6.6,18.2,0.36,0.0,0.7,0.0,6.6,17.5,0.375,4.7,5.1,0.929,2.9,2.9,5.8,3.3,1.8,0.4,3.3,3.3,17.8,,91,106
Armen Gilliam,29,4,0,112,7.2,16.4,0.441,0.0,0.5,0.0,7.2,15.9,0.455,5.8,7.7,0.75,0.5,11.5,12.0,0.5,1.0,3.4,1.4,3.4,20.2,,105,98
Benoit Benjamin,29,4,4,108,3.5,8.5,0.41200000000000003,0.0,0.0,,3.5,8.5,0.41200000000000003,3.5,4.0,0.875,2.5,8.0,10.5,0.5,1.0,4.0,2.5,8.0,10.5,,95,100
Chris Morris,28,4,3,98,6.6,23.6,0.27899999999999997,1.6,11.0,0.15,4.9,12.6,0.391,5.5,5.5,1.0,6.0,6.0,12.1,3.8,2.7,2.7,3.3,7.7,20.3,,90,99
P.J. Brown,24,4,1,56,1.9,8.7,0.222,0.0,0.0,,1.9,8.7,0.222,7.7,7.7,1.0,3.8,3.8,7.7,2.9,0.0,1.9,2.9,12.5,11.5,,101,107
Johnny Newman,30,4,0,54,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,5.0,7.0,0.7140000000000001,2.0,3.0,5.0,2.0,2.0,2.0,3.0,11.0,12.0,,79,104
Rick Mahorn,35,3,0,19,0.0,2.8,0.0,0.0,0.0,,0.0,2.8,0.0,0.0,0.0,,2.8,8.5,11.3,0.0,0.0,2.8,2.8,19.9,0.0,,25,102
David Wesley,23,3,0,18,9.0,21.0,0.429,3.0,12.0,0.25,6.0,9.0,0.667,6.0,6.0,1.0,0.0,0.0,0.0,9.0,6.0,0.0,12.0,0.0,26.9,,84,100
Jayson Williams,25,2,0,17,0.0,9.5,0.0,0.0,0.0,,0.0,9.5,0.0,3.2,6.3,0.5,9.5,0.0,9.5,0.0,0.0,0.0,6.3,15.9,3.2,,43,112
Rex Walters,23,1,0,1,53.9,53.9,1.0,0.0,0.0,,53.9,53.9,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,,200,113
