PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
John Salley,29,5,5,201,5.9,15.2,0.386,0.0,0.0,,5.9,15.2,0.386,2.9,4.3,0.688,4.3,6.4,10.6,2.1,0.5,1.3,1.6,5.6,14.6,,101,110
Glen Rice,26,5,5,195,7.1,18.6,0.382,1.9,6.3,0.304,5.2,12.3,0.42200000000000004,1.6,2.2,0.75,1.6,8.2,9.9,2.7,3.0,0.5,3.8,3.8,17.8,,90,104
Steve Smith,24,5,5,192,9.2,22.3,0.413,2.5,6.1,0.409,6.7,16.2,0.414,5.8,7.0,0.84,4.7,3.6,8.4,3.1,1.1,0.6,2.8,3.3,26.7,,114,111
Rony Seikaly,28,5,3,165,4.5,10.4,0.43799999999999994,0.0,0.0,,4.5,10.4,0.43799999999999994,4.2,7.5,0.565,6.2,9.1,15.2,2.6,1.3,2.3,3.6,7.1,13.3,,98,105
Bimbo Coles,25,5,0,140,9.5,18.0,0.532,0.4,1.5,0.25,9.2,16.4,0.5579999999999999,6.9,8.8,0.7829999999999999,0.8,4.6,5.3,6.5,2.7,0.4,4.2,5.7,26.4,,115,107
Brian Shaw,27,5,5,112,7.6,19.6,0.39,0.0,6.2,0.0,7.6,13.4,0.5710000000000001,3.3,5.7,0.583,1.4,8.1,9.5,4.3,1.9,0.5,6.2,3.8,18.6,,79,106
Grant Long,27,4,2,110,6.8,17.5,0.389,0.0,0.0,,6.8,17.5,0.389,10.2,13.1,0.778,4.9,3.9,8.7,3.4,1.5,1.0,4.9,7.8,23.8,,103,110
Harold Miner,22,4,0,57,11.3,24.4,0.462,0.0,0.0,,11.3,24.4,0.462,7.5,10.3,0.727,2.8,4.7,7.5,1.9,0.9,0.0,1.9,3.8,30.0,,113,111
Willie Burton,25,2,0,11,4.9,19.4,0.25,0.0,9.7,0.0,4.9,9.7,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.9,14.6,9.7,,46,116
Matt Geiger,24,2,0,11,0.0,9.7,0.0,0.0,0.0,,0.0,9.7,0.0,4.9,9.7,0.5,0.0,19.4,19.4,0.0,0.0,0.0,0.0,4.9,4.9,,46,101
Keith Askins,26,1,0,6,0.0,8.9,0.0,0.0,0.0,,0.0,8.9,0.0,0.0,0.0,,8.9,0.0,8.9,0.0,0.0,0.0,17.8,0.0,0.0,,17,117
