PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Charles Oakley,31,11,11,421,4.2,9.3,0.45,0.3,0.9,0.4,3.8,8.5,0.455,3.6,4.4,0.8240000000000001,2.7,5.3,8.0,3.5,1.6,0.5,2.1,3.6,12.3
Patrick Ewing,32,11,11,399,7.2,14.1,0.513,0.1,0.3,0.33299999999999996,7.1,13.8,0.516,4.3,6.3,0.6859999999999999,1.5,8.0,9.6,2.4,0.5,2.3,2.7,4.6,18.9
Derek Harper,33,11,11,388,5.2,10.1,0.514,2.5,4.4,0.574,2.7,5.8,0.46799999999999997,1.7,2.2,0.75,0.5,3.1,3.5,5.8,1.0,0.1,2.4,2.7,14.6
John Starks,29,11,11,380,5.5,12.2,0.45,2.8,6.9,0.41100000000000003,2.7,5.3,0.5,2.5,4.0,0.619,0.2,2.2,2.4,5.4,1.2,0.1,2.5,3.8,16.3
Anthony Mason,28,11,0,352,3.2,5.2,0.608,0.0,0.1,0.0,3.2,5.1,0.62,4.4,7.1,0.623,2.4,4.6,7.0,2.5,0.6,0.6,2.7,2.9,10.7
Charles Smith,29,11,11,303,6.1,11.3,0.537,0.0,0.2,0.0,6.1,11.0,0.5479999999999999,2.0,3.6,0.5670000000000001,2.4,2.6,5.0,1.5,1.5,2.0,2.9,5.2,14.1
Hubert Davis,24,11,0,184,3.3,9.4,0.354,2.0,5.3,0.37,1.4,4.1,0.33299999999999996,0.4,0.4,1.0,0.0,1.4,1.4,1.8,0.2,1.0,1.8,3.9,9.0
Greg Anthony,27,11,0,135,4.0,10.1,0.395,1.9,6.1,0.304,2.1,4.0,0.5329999999999999,2.7,2.9,0.909,0.5,2.1,2.7,4.0,0.5,0.5,1.6,7.2,12.5
Herb Williams,36,8,0,55,2.0,8.5,0.231,0.0,0.0,,2.0,8.5,0.231,1.3,1.3,1.0,2.0,2.6,4.6,0.0,3.3,3.3,0.7,8.5,5.2
Anthony Bonner,26,6,0,38,5.7,10.4,0.545,0.0,0.9,0.0,5.7,9.5,0.6,2.8,5.7,0.5,3.8,3.8,7.6,1.9,0.9,0.9,2.8,5.7,14.2
Doug Christie,24,2,0,6,0.0,24.0,0.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0
Monty Williams,23,1,0,4,18.0,18.0,1.0,0.0,0.0,,18.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0
