PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Horace Grant,29,21,21,869,5.0,9.3,0.54,0.0,0.1,0.0,5.0,9.2,0.545,1.9,2.4,0.763,3.1,6.0,9.1,1.6,0.9,1.0,1.1,2.8,11.9
Anfernee Hardaway,23,21,21,849,6.1,12.9,0.47200000000000003,1.7,4.2,0.40399999999999997,4.4,8.7,0.505,3.6,4.7,0.757,1.3,2.1,3.3,6.9,1.7,0.6,3.1,3.0,17.5
Nick Anderson,27,21,21,814,4.7,10.6,0.44799999999999995,1.8,4.7,0.38299999999999995,2.9,5.8,0.5,1.9,2.8,0.6829999999999999,0.9,3.5,4.4,2.9,1.5,0.4,1.3,2.2,13.2
Shaquille O'Neal,22,21,21,805,8.7,15.1,0.5770000000000001,0.0,0.0,,8.7,15.1,0.5770000000000001,6.7,11.7,0.5710000000000001,4.2,6.9,11.2,3.1,0.8,1.8,3.3,3.8,24.1
Dennis Scott,26,21,15,746,5.3,12.7,0.413,2.7,7.3,0.371,2.6,5.5,0.469,1.6,1.9,0.85,0.4,2.6,3.0,2.2,1.1,0.2,1.6,3.0,14.9
Brian Shaw,28,21,0,355,4.9,12.5,0.39,2.2,5.8,0.386,2.6,6.7,0.39399999999999996,2.0,3.2,0.625,1.7,4.6,6.3,6.7,1.1,0.4,2.6,5.0,14.0
Donald Royal,28,18,6,198,2.0,6.0,0.33299999999999996,0.0,0.0,,2.0,6.0,0.33299999999999996,2.7,3.6,0.75,1.1,2.4,3.5,1.6,0.5,0.0,2.4,4.0,6.7
Jeff Turner,32,18,0,179,3.4,8.0,0.425,2.2,4.4,0.5,1.2,3.6,0.33299999999999996,0.8,0.8,1.0,0.8,4.2,5.0,2.2,0.8,0.6,1.2,8.8,9.9
Anthony Bowie,31,17,0,118,6.4,12.8,0.5,1.5,2.1,0.7140000000000001,4.9,10.7,0.457,2.4,2.7,0.889,1.2,2.4,3.7,5.5,0.3,0.3,2.4,7.0,16.8
Tree Rollins,39,14,0,81,1.3,2.2,0.6,0.0,0.0,,1.3,2.2,0.6,0.4,1.8,0.25,1.8,0.9,2.7,0.0,0.0,2.7,1.8,8.4,3.1
Anthony Avent,25,7,0,40,2.7,6.3,0.429,0.0,0.9,0.0,2.7,5.4,0.5,2.7,3.6,0.75,3.6,3.6,7.2,0.0,0.0,0.9,1.8,9.9,8.1
Brooks Thompson,24,3,0,11,9.8,13.1,0.75,9.8,13.1,0.75,0.0,0.0,,9.8,13.1,0.75,3.3,3.3,6.5,9.8,0.0,3.3,6.5,3.3,39.3
