Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,2,1878,BOS,Boston Celtics,24.0,NBA,SF,80.0,80.0,2744.0,7.8,12.8,0.61,0.0,0.0,,7.8,12.8,0.61,7.4,9.4,0.79,4.8,7.2,12.0,3.4,1.3,1.0,3.9,4.5,23.0,,124.0,102.0
1981,2,1878,BOS,Boston Celtics,25.0,NBA,SF,81.0,81.0,2730.0,7.7,13.1,0.59,0.0,0.0,0.0,7.7,13.1,0.59,6.1,7.9,0.78,3.9,5.3,9.2,3.8,1.4,1.2,3.1,4.5,21.5,,124.0,104.0
1982,2,1878,BOS,Boston Celtics,26.0,NBA,SF,78.0,73.0,2590.0,7.3,13.2,0.55,0.0,0.1,0.0,7.3,13.2,0.55,6.5,8.7,0.75,4.0,5.1,9.1,3.3,1.4,0.9,3.2,4.8,21.0,,119.0,105.0
1983,2,1878,BOS,Boston Celtics,27.0,NBA,SF,79.0,71.0,2252.0,6.8,13.6,0.5,0.0,0.0,0.0,6.8,13.6,0.5,5.7,7.1,0.81,3.8,4.9,8.6,3.8,1.3,0.8,3.4,4.1,19.3,,113.0,104.0
1984,2,1878,BOS,Boston Celtics,28.0,NBA,SF,80.0,78.0,2502.0,6.1,11.5,0.53,0.0,0.1,0.17,6.1,11.3,0.54,6.2,8.2,0.75,3.9,5.0,8.9,3.9,1.2,0.5,3.9,4.3,18.4,,113.0,107.0
1985,2,1878,BOS,Boston Celtics,29.0,NBA,SF,57.0,51.0,1495.0,6.4,11.9,0.53,0.0,0.1,0.0,6.4,11.9,0.54,7.3,8.8,0.83,3.1,4.6,7.6,3.2,1.1,0.5,3.1,4.4,20.0,,121.0,109.0
1986,13,1878,LAC,Los Angeles Clippers,30.0,NBA,SF,76.0,72.0,2458.0,6.0,12.6,0.48,0.0,0.1,0.0,6.0,12.5,0.48,8.5,10.7,0.8,4.6,7.3,11.9,4.1,1.2,0.6,3.9,4.8,20.4,,114.0,112.0
1987,31,1878,TOT,Total After Trade,31.0,NBA,SF,81.0,31.0,1968.0,6.1,11.5,0.53,0.0,0.0,0.0,6.1,11.4,0.53,7.3,9.4,0.78,4.2,6.2,10.5,4.7,0.9,0.3,3.3,4.3,19.4,,120.0,111.0
1987,13,1878,LAC,Los Angeles Clippers,31.0,NBA,SF,35.0,31.0,1132.0,6.2,11.9,0.52,0.0,0.0,,6.2,11.9,0.52,7.3,9.4,0.78,4.3,6.1,10.4,5.0,1.1,0.4,3.6,4.2,19.7,,116.0,114.0
1987,11,1878,HOU,Houston Rockets,31.0,NBA,SF,46.0,0.0,836.0,5.9,10.8,0.55,0.0,0.1,0.0,5.9,10.8,0.55,7.2,9.4,0.77,4.1,6.4,10.6,4.3,0.7,0.3,2.8,4.4,19.1,,125.0,108.0
1988,11,1878,HOU,Houston Rockets,32.0,NBA,SF,71.0,0.0,848.0,4.4,9.5,0.47,0.0,0.1,0.0,4.4,9.4,0.47,6.1,8.0,0.77,4.1,5.8,10.0,3.3,1.2,0.7,3.0,4.2,15.0,,113.0,107.0
