Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,7,2832,DAL,Dallas Mavericks,27.0,NBA,PG,13.0,13.0,501.0,81.0,160.0,0.51,27.0,55.0,0.49,54.0,105.0,0.51,0.59,38.0,43.0,0.88,9.0,45.0,54.0,60.0,17.0,7.0,30.0,28.0,227.0
2006,7,2832,DAL,Dallas Mavericks,28.0,NBA,PG,22.0,22.0,844.0,163.0,369.0,0.44,31.0,101.0,0.31,132.0,268.0,0.49,0.48,59.0,71.0,0.83,12.0,52.0,64.0,83.0,26.0,1.0,44.0,55.0,416.0
2007,7,2832,DAL,Dallas Mavericks,29.0,NBA,SG,6.0,6.0,229.0,39.0,92.0,0.42,9.0,32.0,0.28,30.0,60.0,0.5,0.47,15.0,18.0,0.83,3.0,11.0,14.0,22.0,5.0,2.0,17.0,12.0,102.0
2008,7,2832,DAL,Dallas Mavericks,30.0,NBA,SG,5.0,3.0,180.0,26.0,60.0,0.43,14.0,32.0,0.44,12.0,28.0,0.43,0.55,13.0,15.0,0.87,1.0,7.0,8.0,24.0,2.0,1.0,5.0,15.0,79.0
2009,7,2832,DAL,Dallas Mavericks,31.0,NBA,SG,10.0,1.0,325.0,49.0,126.0,0.39,22.0,59.0,0.37,27.0,67.0,0.4,0.48,23.0,30.0,0.77,6.0,22.0,28.0,19.0,6.0,3.0,16.0,18.0,143.0
2010,7,2832,DAL,Dallas Mavericks,32.0,NBA,SG,6.0,0.0,174.0,26.0,69.0,0.38,12.0,30.0,0.4,14.0,39.0,0.36,0.46,12.0,16.0,0.75,2.0,13.0,15.0,12.0,4.0,1.0,6.0,16.0,76.0
2011,7,2832,DAL,Dallas Mavericks,33.0,NBA,SG,21.0,0.0,684.0,128.0,268.0,0.48,42.0,95.0,0.44,86.0,173.0,0.5,0.56,70.0,83.0,0.84,6.0,34.0,40.0,67.0,26.0,3.0,32.0,44.0,368.0
2012,7,2832,DAL,Dallas Mavericks,34.0,NBA,SG,4.0,1.0,139.0,20.0,44.0,0.46,10.0,20.0,0.5,10.0,24.0,0.42,0.57,5.0,8.0,0.62,1.0,8.0,9.0,15.0,1.0,0.0,8.0,11.0,55.0
2013,2,2832,BOS,Boston Celtics,35.0,NBA,SG,6.0,1.0,189.0,24.0,54.0,0.44,15.0,34.0,0.44,9.0,20.0,0.45,0.58,9.0,11.0,0.82,0.0,13.0,13.0,12.0,4.0,2.0,5.0,9.0,72.0
2015,11,2832,HOU,Houston Rockets,37.0,NBA,SG,17.0,17.0,487.0,57.0,134.0,0.42,29.0,82.0,0.35,28.0,52.0,0.54,0.53,13.0,16.0,0.81,6.0,32.0,38.0,48.0,15.0,2.0,20.0,46.0,156.0
2016,11,2832,HOU,Houston Rockets,38.0,NBA,SG,5.0,0.0,124.0,13.0,38.0,0.34,6.0,19.0,0.32,7.0,19.0,0.37,0.42,3.0,3.0,1.0,1.0,10.0,11.0,6.0,2.0,1.0,3.0,13.0,35.0
2017,17,2832,MIL,Milwaukee Bucks,39.0,NBA,SG,6.0,0.0,68.0,6.0,18.0,0.33,2.0,10.0,0.2,4.0,8.0,0.5,0.39,1.0,1.0,1.0,2.0,6.0,8.0,5.0,3.0,1.0,2.0,7.0,15.0
2018,17,2832,MIL,Milwaukee Bucks,40.0,NBA,SG,3.0,0.0,44.0,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,6.0
