Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2007,28,TOR,Toronto Raptors,47,35,0.57,—,99.5,98.5,0.61
2007,3,NJN,New Jersey Nets,41,41,0.5,6.0,97.6,98.3,-1.0
2007,23,PHI,Philadelphia 76Ers,35,47,0.43,12.0,94.9,98.0,-3.26
2007,20,NYK,New York Knicks,33,49,0.4,14.0,97.5,100.3,-3.06
2007,2,BOS,Boston Celtics,24,58,0.29,23.0,95.8,99.2,-3.7
2007,9,DET,Detroit Pistons,53,29,0.65,—,96.0,91.8,3.69
2007,6,CLE,Cleveland Cavaliers,50,32,0.61,3.0,96.8,92.9,3.33
2007,5,CHI,Chicago Bulls,49,33,0.6,4.0,98.8,93.8,4.52
2007,12,IND,Indiana Pacers,35,47,0.43,18.0,95.6,98.0,-2.62
2007,17,MIL,Milwaukee Bucks,28,54,0.34,25.0,99.7,104.0,-4.43
2007,16,MIA,Miami Heat,44,38,0.54,—,94.6,95.5,-1.21
2007,30,WAS,Washington Wizards,41,41,0.5,3.0,104.3,104.9,-0.8
2007,22,ORL,Orlando Magic,40,42,0.49,4.0,94.8,94.0,0.35
2007,4,CHA,Charlotte Bobcats,33,49,0.4,11.0,96.9,100.6,-3.97
2007,1,ATL,Atlanta Hawks,30,52,0.37,14.0,93.7,98.4,-4.86
