Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2009,2,BOS,Boston Celtics,62,20,0.76,—,100.9,93.4,7.44
2009,23,PHI,Philadelphia 76Ers,41,41,0.5,21.0,97.4,97.3,0.16
2009,3,NJN,New Jersey Nets,34,48,0.42,28.0,98.1,100.5,-2.31
2009,28,TOR,Toronto Raptors,33,49,0.4,29.0,99.0,101.9,-2.54
2009,20,NYK,New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33
2009,6,CLE,Cleveland Cavaliers,66,16,0.8,—,100.3,91.4,8.68
2009,5,CHI,Chicago Bulls,41,41,0.5,25.0,102.2,102.5,-0.16
2009,9,DET,Detroit Pistons,39,43,0.48,27.0,94.2,94.7,-0.36
2009,12,IND,Indiana Pacers,36,46,0.44,30.0,105.1,106.2,-0.76
2009,17,MIL,Milwaukee Bucks,34,48,0.42,32.0,99.3,100.4,-0.88
2009,22,ORL,Orlando Magic,59,23,0.72,—,101.0,94.4,6.48
2009,1,ATL,Atlanta Hawks,47,35,0.57,12.0,98.1,96.5,1.7
2009,16,MIA,Miami Heat,43,39,0.52,16.0,98.3,98.0,0.49
2009,4,CHA,Charlotte Bobcats,35,47,0.43,24.0,93.6,94.9,-1.2
2009,30,WAS,Washington Wizards,19,63,0.23,40.0,96.1,103.5,-6.98
