Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2008,2,BOS,Boston Celtics,66,16,0.8,—,100.5,90.3,9.3
2008,28,TOR,Toronto Raptors,41,41,0.5,25.0,100.2,97.3,2.47
2008,23,PHI,Philadelphia 76Ers,40,42,0.49,26.0,96.6,96.2,0.19
2008,3,NJN,New Jersey Nets,34,48,0.42,32.0,95.8,100.9,-5.15
2008,20,NYK,New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55
2008,9,DET,Detroit Pistons,59,23,0.72,—,97.5,90.1,6.67
2008,6,CLE,Cleveland Cavaliers,45,37,0.55,14.0,96.4,96.7,-0.53
2008,12,IND,Indiana Pacers,36,46,0.44,23.0,104.0,105.4,-1.87
2008,5,CHI,Chicago Bulls,33,49,0.4,26.0,97.3,100.4,-3.19
2008,17,MIL,Milwaukee Bucks,26,56,0.32,33.0,97.0,103.9,-6.92
2008,22,ORL,Orlando Magic,52,30,0.63,—,104.5,99.0,4.79
2008,30,WAS,Washington Wizards,43,39,0.52,9.0,98.8,99.2,-0.61
2008,1,ATL,Atlanta Hawks,37,45,0.45,15.0,98.2,100.0,-2.23
2008,4,CHA,Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49
2008,16,MIA,Miami Heat,15,67,0.18,37.0,91.4,100.0,-8.53
