Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1982,2,BOS,Boston Celtics,63,19,0.77,—,112.0,105.6,6.35
1982,23,PHI,Philadelphia 76Ers,58,24,0.71,5.0,111.2,105.5,5.74
1982,3,NJN,New Jersey Nets,44,38,0.54,19.0,106.7,106.0,0.87
1982,30,WSB,Washington Bullets,43,39,0.52,20.0,103.5,102.6,1.06
1982,20,NYK,New York Knicks,33,49,0.4,30.0,106.2,108.9,-2.15
1982,17,MIL,Milwaukee Bucks,55,27,0.67,—,108.4,102.9,5.38
1982,1,ATL,Atlanta Hawks,42,40,0.51,13.0,101.0,100.5,0.81
1982,9,DET,Detroit Pistons,39,43,0.48,16.0,111.1,112.0,-0.63
1982,12,IND,Indiana Pacers,35,47,0.43,20.0,102.2,104.0,-1.49
1982,5,CHI,Chicago Bulls,34,48,0.42,21.0,106.6,108.6,-1.57
1982,6,CLE,Cleveland Cavaliers,15,67,0.18,40.0,103.2,111.7,-7.77
