Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1991,2,BOS,Boston Celtics,56,26,.683,—,111.5,105.7,5.22
1991,23,PHI,Philadelphia 76Ers,44,38,.537,12.0,105.4,105.6,-0.39
1991,20,NYK,New York Knicks,39,43,.476,17.0,103.1,103.3,-0.43
1991,30,WSB,Washington Bullets,30,52,.366,26.0,101.4,106.4,-4.84
1991,3,NJN,New Jersey Nets,26,56,.317,30.0,102.9,107.5,-4.53
1991,16,MIA,Miami Heat,24,58,.293,32.0,101.8,107.8,-5.91
1991,5,CHI,Chicago Bulls,61,21,.744,—,110.0,101.0,8.57
1991,9,DET,Detroit Pistons,50,32,.610,11.0,100.1,96.8,3.08
1991,17,MIL,Milwaukee Bucks,48,34,.585,13.0,106.4,104.0,2.33
1991,1,ATL,Atlanta Hawks,43,39,.524,18.0,109.8,109.0,0.72
1991,12,IND,Indiana Pacers,41,41,.500,20.0,111.7,112.1,-0.37
1991,6,CLE,Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,-2.33
1991,4,CHO,Charlotte Hornets,26,56,.317,35.0,102.8,108.0,-4.95
