Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2013,20,NYK,New York Knicks,54,28,.659,—,100.0,95.7,3.73
2013,3,BRK,Brooklyn Nets,49,33,.598,5.0,96.9,95.1,1.25
2013,2,BOS,Boston Celtics,41,40,.506,12.5,96.5,96.7,-0.62
2013,23,PHI,Philadelphia 76Ers,34,48,.415,20.0,93.2,96.5,-3.51
2013,28,TOR,Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96
2013,12,IND,Indiana Pacers,49,32,.605,—,94.7,90.7,3.34
2013,5,CHI,Chicago Bulls,45,37,.549,4.5,93.2,92.9,-0.02
2013,17,MIL,Milwaukee Bucks,38,44,.463,11.5,98.9,100.4,-1.83
2013,9,DET,Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33
2013,6,CLE,Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87
2013,16,MIA,Miami Heat,66,16,.805,—,102.9,95.0,7.03
2013,1,ATL,Atlanta Hawks,44,38,.537,22.0,98.0,97.5,-0.08
2013,30,WAS,Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78
2013,4,CHA,Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29
2013,22,ORL,Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12
