Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2017,2,BOS,Boston Celtics,53,29,0.65,—,108.0,105.4,2.25
2017,6,CLE,Cleveland Cavaliers,51,31,0.62,2.0,110.3,107.2,2.87
2017,28,TOR,Toronto Raptors,51,31,0.62,2.0,106.9,102.6,3.65
2017,30,WAS,Washington Wizards,49,33,0.6,4.0,109.2,107.4,1.36
2017,1,ATL,Atlanta Hawks,43,39,0.52,10.0,103.2,104.0,-1.23
2017,17,MIL,Milwaukee Bucks,42,40,0.51,11.0,103.6,103.8,-0.45
2017,12,IND,Indiana Pacers,42,40,0.51,11.0,105.1,105.3,-0.64
2017,5,CHI,Chicago Bulls,41,41,0.5,12.0,102.9,102.4,0.03
2017,16,MIA,Miami Heat,41,41,0.5,12.0,103.2,102.1,0.77
2017,9,DET,Detroit Pistons,37,45,0.45,16.0,101.3,102.5,-1.29
2017,4,CHO,Charlotte Hornets,36,46,0.44,17.0,104.9,104.7,-0.07
2017,20,NYK,New York Knicks,31,51,0.38,22.0,104.3,108.0,-3.87
2017,22,ORL,Orlando Magic,29,53,0.35,24.0,101.1,107.6,-6.61
2017,23,PHI,Philadelphia 76Ers,28,54,0.34,25.0,102.4,108.1,-5.83
2017,3,BRK,Brooklyn Nets,20,62,0.24,33.0,105.8,112.5,-6.74
