Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1996,22,ORL,Orlando Magic,60,22,0.73,—,104.5,99.0,5.4
1996,20,NYK,New York Knicks,47,35,0.57,13.0,97.2,94.9,2.24
1996,16,MIA,Miami Heat,42,40,0.51,18.0,96.5,95.0,1.46
1996,30,WSB,Washington Bullets,39,43,0.48,21.0,102.5,101.5,0.99
1996,2,BOS,Boston Celtics,33,49,0.4,27.0,103.6,107.0,-3.37
1996,3,NJN,New Jersey Nets,30,52,0.37,30.0,93.7,97.9,-4.14
1996,23,PHI,Philadelphia 76Ers,18,64,0.22,42.0,94.5,104.5,-9.45
1996,5,CHI,Chicago Bulls,72,10,0.88,—,105.2,92.9,11.8
1996,12,IND,Indiana Pacers,52,30,0.63,20.0,99.3,96.1,3.11
1996,6,CLE,Cleveland Cavaliers,47,35,0.57,25.0,91.1,88.5,2.49
1996,1,ATL,Atlanta Hawks,46,36,0.56,26.0,98.3,97.1,1.29
1996,9,DET,Detroit Pistons,46,36,0.56,26.0,95.4,92.9,2.45
1996,4,CHO,Charlotte Hornets,41,41,0.5,31.0,102.8,103.4,-0.48
1996,17,MIL,Milwaukee Bucks,25,57,0.3,47.0,95.6,100.9,-4.92
1996,28,TOR,Toronto Raptors,21,61,0.26,51.0,97.5,105.0,-7.2
