Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1997,16,MIA,Miami Heat,61,21,0.74,—,94.8,89.3,5.56
1997,20,NYK,New York Knicks,57,25,0.7,4.0,95.4,92.2,3.31
1997,22,ORL,Orlando Magic,45,37,0.55,16.0,94.1,94.5,-0.07
1997,30,WSB,Washington Bullets,44,38,0.54,17.0,99.4,97.7,1.77
1997,3,NJN,New Jersey Nets,26,56,0.32,35.0,97.2,101.8,-3.89
1997,23,PHI,Philadelphia 76Ers,22,60,0.27,39.0,100.2,106.7,-5.89
1997,2,BOS,Boston Celtics,15,67,0.18,46.0,100.6,107.9,-6.62
1997,5,CHI,Chicago Bulls,69,13,0.84,—,103.1,92.3,10.7
1997,1,ATL,Atlanta Hawks,56,26,0.68,13.0,94.8,89.4,5.52
1997,9,DET,Detroit Pistons,54,28,0.66,15.0,94.2,88.9,5.45
1997,4,CHO,Charlotte Hornets,54,28,0.66,15.0,98.9,97.0,2.13
1997,6,CLE,Cleveland Cavaliers,42,40,0.51,27.0,87.5,85.6,2.32
1997,12,IND,Indiana Pacers,39,43,0.48,30.0,95.4,94.4,1.49
1997,17,MIL,Milwaukee Bucks,33,49,0.4,36.0,95.3,97.2,-1.38
1997,28,TOR,Toronto Raptors,30,52,0.37,39.0,95.5,98.6,-2.56
