Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2001,23,PHI,Philadelphia 76Ers,56,26,0.68,—,94.7,90.4,3.64
2001,16,MIA,Miami Heat,50,32,0.61,6.0,88.9,86.6,1.73
2001,20,NYK,New York Knicks,48,34,0.58,8.0,88.7,86.1,1.98
2001,22,ORL,Orlando Magic,43,39,0.52,13.0,97.5,96.5,0.39
2001,2,BOS,Boston Celtics,36,46,0.44,20.0,94.6,96.8,-2.4
2001,3,NJN,New Jersey Nets,26,56,0.32,30.0,92.1,97.1,-5.3
2001,30,WAS,Washington Wizards,19,63,0.23,37.0,93.2,99.9,-6.75
2001,17,MIL,Milwaukee Bucks,52,30,0.63,—,100.7,96.9,3.14
2001,28,TOR,Toronto Raptors,47,35,0.57,5.0,97.6,95.4,1.69
2001,4,CHO,Charlotte Hornets,46,36,0.56,6.0,91.9,89.8,1.45
2001,12,IND,Indiana Pacers,41,41,0.5,11.0,92.6,92.8,-0.77
2001,9,DET,Detroit Pistons,32,50,0.39,20.0,95.6,97.3,-2.08
2001,6,CLE,Cleveland Cavaliers,30,52,0.37,22.0,92.2,96.5,-4.48
2001,1,ATL,Atlanta Hawks,25,57,0.3,27.0,91.0,96.2,-5.55
2001,5,CHI,Chicago Bulls,15,67,0.18,37.0,87.6,96.7,-9.09
