Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2011,2,BOS,Boston Celtics,56,26,0.68,—,96.5,91.1,4.83
2011,20,NYK,New York Knicks,42,40,0.51,14.0,106.5,105.7,0.48
2011,23,PHI,Philadelphia 76Ers,41,41,0.5,15.0,99.0,97.5,1.01
2011,3,NJN,New Jersey Nets,24,58,0.29,32.0,94.2,100.4,-6.28
2011,28,TOR,Toronto Raptors,22,60,0.27,34.0,99.1,105.4,-6.28
2011,5,CHI,Chicago Bulls,62,20,0.76,—,98.6,91.3,6.53
2011,12,IND,Indiana Pacers,37,45,0.45,25.0,99.8,100.9,-1.38
2011,17,MIL,Milwaukee Bucks,35,47,0.43,27.0,91.9,92.7,-1.02
2011,9,DET,Detroit Pistons,30,52,0.37,32.0,97.0,100.6,-3.78
2011,6,CLE,Cleveland Cavaliers,19,63,0.23,43.0,95.5,104.5,-8.88
2011,16,MIA,Miami Heat,58,24,0.71,—,102.1,94.6,6.76
2011,22,ORL,Orlando Magic,52,30,0.63,6.0,99.2,93.7,4.92
2011,1,ATL,Atlanta Hawks,44,38,0.54,14.0,95.0,95.8,-1.1
2011,4,CHA,Charlotte Bobcats,34,48,0.42,24.0,93.3,97.3,-4.08
2011,30,WAS,Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3
