Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1983,10,860,GSW,Golden State Warriors,23.0,NBA,C,54.0,369.0,5.8,0.4,0.0,0.17,12.2,18.5,15.3,3.7,0.9,2.6,19.2,13.3,-0.3,0.3,0.0,-0.01,-6.2,-0.9,-7.1,-0.5
1984,10,860,GSW,Golden State Warriors,24.0,NBA,C,46.0,360.0,5.3,0.43,0.0,0.28,7.6,22.8,14.7,3.8,1.2,0.5,20.5,12.7,-0.4,0.4,0.0,0.0,-5.8,-0.5,-6.4,-0.4
1985,31,860,TOT,Total After Trade,25.0,NBA,C,11.0,82.0,13.2,0.44,0.0,0.45,16.1,25.4,20.6,0.0,1.2,3.6,7.7,12.8,0.0,0.1,0.2,0.1,-0.4,-1.5,-1.9,0.0
1985,3,860,NJN,New Jersey Nets,25.0,NBA,C,7.0,76.0,13.9,0.48,0.0,0.56,14.3,25.9,19.9,0.0,1.3,3.1,4.8,11.1,0.1,0.1,0.2,0.12,0.2,-1.2,-1.0,0.0
1985,5,860,CHI,Charlotte Bobcats,25.0,NBA,C,3.0,3.0,9.1,0.5,0.0,0.0,39.6,37.7,38.6,0.0,0.0,0.0,33.3,41.8,0.0,0.0,0.0,-0.22,-8.9,-6.4,-15.3,0.0
1985,17,860,MIL,Milwaukee Bucks,25.0,NBA,C,1.0,3.0,0.0,0.0,0.0,0.0,37.2,0.0,18.5,0.0,0.0,19.8,0.0,27.2,0.0,0.0,0.0,-0.34,-7.6,-3.3,-10.8,0.0
1987,31,860,TOT,Total After Trade,27.0,NBA,C,30.0,195.0,11.0,0.5,0.0,0.31,13.3,19.6,16.4,5.5,1.2,3.3,17.1,14.5,0.0,0.2,0.3,0.07,-2.8,-0.1,-2.9,0.0
1987,25,860,POR,Portland Trail Blazers,27.0,NBA,C,7.0,17.0,29.1,0.59,0.0,0.38,40.4,12.9,26.3,8.6,2.7,3.3,17.7,26.2,0.1,0.0,0.1,0.24,7.1,-2.1,5.0,0.0
1987,17,860,MIL,Milwaukee Bucks,27.0,NBA,C,5.0,48.0,5.8,0.28,0.0,0.08,6.9,30.5,18.5,7.7,1.0,1.3,0.0,10.6,0.0,0.1,0.1,0.05,-6.5,-1.5,-8.1,-0.1
1987,3,860,NJN,New Jersey Nets,27.0,NBA,C,18.0,130.0,10.6,0.55,0.0,0.39,12.1,16.4,14.3,4.2,1.1,4.1,21.6,14.4,0.0,0.1,0.2,0.06,-2.7,0.7,-2.0,0.0
1988,3,860,NJN,New Jersey Nets,28.0,NBA,C,54.0,399.0,7.1,0.5,0.0,0.4,9.0,19.9,14.2,5.2,1.1,0.9,21.9,14.0,-0.2,0.3,0.2,0.02,-5.3,-0.7,-6.0,-0.4
