Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2014,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",22.0,NBA,SG,40.0,16.0,399.0,4.2,8.6,0.48,0.3,1.6,0.15,3.9,6.9,0.56,0.9,1.3,0.7,4.5,7.3,11.8,1.9,2.4,1.3,2.4,9.3,9.5,105.0,102.0
2015,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",23.0,NBA,SG,67.0,65.0,1286.0,3.6,7.8,0.46,0.8,3.3,0.25,2.8,4.5,0.61,0.9,1.9,0.48,2.3,7.6,9.9,2.7,2.1,1.1,1.8,5.5,8.9,104.0,104.0
2016,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",24.0,NBA,SG,70.0,70.0,1553.0,4.3,8.8,0.5,1.0,3.3,0.31,3.3,5.5,0.61,1.1,1.7,0.61,2.5,5.5,8.0,1.5,1.7,1.3,1.1,4.3,10.8,119.0,106.0
2017,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",25.0,NBA,SF,79.0,79.0,2376.0,4.4,9.6,0.46,0.9,3.8,0.24,3.5,5.8,0.61,1.0,2.3,0.42,2.0,6.3,8.3,1.6,1.9,1.6,1.1,4.2,10.8,108.0,106.0
2018,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",26.0,NBA,SG,39.0,39.0,1037.0,4.2,7.8,0.54,0.4,1.7,0.22,3.8,6.0,0.63,0.6,1.8,0.32,3.6,5.3,8.9,2.2,2.2,1.7,1.4,4.3,9.3,114.0,107.0
2020,21,2459,OKC,Oklahoma City Thunder,Andre Roberson,"December 4, 1991",28.0,NBA,SF,7.0,0.0,87.0,4.5,16.2,0.28,1.7,7.8,0.21,2.8,8.4,0.33,0.6,1.1,0.5,3.9,11.2,15.1,2.2,0.6,1.7,1.1,7.3,11.2,84.0,108.0
2021,3,2459,BRK,Brooklyn Nets,Andre Roberson,"December 4, 1991",29.0,NBA,,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11.9,11.9,0.0,0.0,11.9,11.9,0.0,0.0,0.0,101.0
