PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Malcolm Brogdon,27,4,4,160,5.9,14.6,0.4,2.0,5.4,0.375,3.8,9.2,0.415,5.6,6.3,0.893,0.0,3.8,3.8,9.0,0.9,0.0,2.3,2.3,19.4
T.J. Warren,26,4,4,156,7.4,15.7,0.47100000000000003,1.6,4.4,0.368,5.8,11.3,0.51,2.1,2.1,1.0,1.2,4.6,5.8,2.8,2.1,0.2,2.5,3.7,18.5
Myles Turner,23,4,4,146,6.2,10.8,0.568,1.5,3.5,0.429,4.7,7.4,0.633,1.7,3.9,0.43799999999999994,2.7,7.9,10.6,0.7,0.5,3.9,2.2,3.2,15.5
Justin Holiday,30,4,2,131,2.7,5.8,0.47600000000000003,2.2,4.4,0.5,0.5,1.4,0.4,0.3,0.8,0.33299999999999996,1.1,3.0,4.1,0.8,1.6,1.4,0.8,2.2,8.0
Victor Oladipo,27,4,4,123,6.4,16.4,0.39299999999999996,3.5,9.7,0.364,2.9,6.7,0.435,4.4,4.7,0.938,0.0,3.8,3.8,2.9,2.6,0.0,4.1,4.1,20.8
Aaron Holiday,23,4,2,72,6.0,10.5,0.5710000000000001,2.0,4.5,0.444,4.0,6.0,0.667,1.5,2.5,0.6,0.5,2.0,2.5,5.0,2.0,0.0,2.0,5.0,15.5
Doug McDermott,28,4,0,54,2.7,10.0,0.267,1.3,6.7,0.2,1.3,3.3,0.4,0.0,0.0,,0.0,2.0,2.0,0.7,0.7,0.0,0.7,2.0,6.7
JaKarr Sampson,26,4,0,50,7.2,11.5,0.625,0.0,0.0,,7.2,11.5,0.625,0.0,0.0,,0.7,8.6,9.4,2.9,1.4,0.0,1.4,7.2,14.4
Edmond Sumner,24,3,0,41,1.8,6.1,0.28600000000000003,0.0,2.6,0.0,1.8,3.5,0.5,1.8,1.8,1.0,0.9,4.4,5.3,0.0,0.0,0.0,1.8,4.4,5.3
T.J. McConnell,27,3,0,28,3.9,10.3,0.375,0.0,0.0,,3.9,10.3,0.375,1.3,2.6,0.5,0.0,7.7,7.7,9.0,0.0,0.0,2.6,5.1,9.0
Alize Johnson,23,1,0,0,,,,,,,,,,,,,,,,,,,,,
