NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
25,Bill Cartwright,C,7-1,245,1957-07-30,US,3,San Francisco
26,Mike Davis,PF,6-10,230,1956-08-02,US,R,Maryland
18,Ernie Grunfeld,SF,6-6,210,1955-04-24,RO,5,Tennessee
42,Scott Hastings,C,6-10,235,1960-06-03,US,R,Arkansas
30,Bernard King,SF,6-7,205,1956-12-04,US,5,Tennessee
55,Louis Orr,SF,6-8,175,1958-05-07,US,2,Syracuse
23,Truck Robinson,PF,6-7,225,1951-10-04,US,8,Tennessee State
13,Ed Sherod,PG,6-2,170,1959-09-13,US,1,VCU
2,Rory Sparrow,PG,6-2,175,1958-06-12,US,2,Villanova
8,Vince Taylor,SG,6-5,180,1960-09-11,US,R,Duke
6,Trent Tucker,SG,6-5,193,1959-12-20,US,R,Minnesota
40,Marvin Webster,C,7-1,225,1952-04-13,US,7,Morgan State University
44,Paul Westphal,SG,6-4,195,1950-11-30,US,10,USC
33,Sly Williams,PF,6-7,210,1958-01-26,US,3,Rhode Island
