PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,27,9,9,383,12.5,27.4,0.455,0.0,1.0,0.0,12.5,26.3,0.473,10.1,11.9,0.846,3.0,12.7,15.7,3.8,1.2,1.4,3.4,4.6,35.0,,109,103
John Stockton,28,9,9,373,7.8,14.5,0.537,1.5,3.6,0.40700000000000003,6.3,10.9,0.58,5.0,5.9,0.841,1.3,4.3,5.7,16.7,2.7,0.3,4.3,4.4,22.1,,124,107
Jeff Malone,29,9,9,351,10.2,20.6,0.493,0.0,0.3,0.0,10.2,20.3,0.5,6.3,6.9,0.917,1.0,4.0,5.0,4.1,1.3,0.1,1.7,3.1,26.6,,117,110
Mark Eaton,34,9,9,255,3.1,6.1,0.516,0.0,0.0,,3.1,6.1,0.516,1.4,2.4,0.583,3.3,7.7,11.0,1.0,0.2,2.6,1.4,8.1,7.7,,109,107
Blue Edwards,25,9,9,241,7.7,16.0,0.48100000000000004,0.2,0.4,0.5,7.5,15.6,0.48,3.3,4.2,0.8,1.5,4.4,5.8,3.3,1.7,0.2,3.1,7.7,19.0,,100,109
Thurl Bailey,29,9,0,228,5.1,14.1,0.359,0.0,0.0,,5.1,14.1,0.359,4.8,5.5,0.88,2.4,4.6,7.0,2.0,0.7,1.3,2.6,5.9,15.0,,93,110
Mike Brown,27,9,0,223,6.1,12.6,0.48200000000000004,0.0,0.0,,6.1,12.6,0.48200000000000004,7.2,8.6,0.8420000000000001,4.5,10.4,14.9,1.1,0.7,0.2,2.7,8.1,19.4,,116,107
Delaney Rudd,28,9,0,58,7.8,18.2,0.429,3.5,10.4,0.33299999999999996,4.3,7.8,0.556,1.7,3.5,0.5,1.7,0.0,1.7,14.7,2.6,0.0,2.6,5.2,20.8,,117,110
Tony Brown,30,4,0,29,6.9,13.8,0.5,1.7,3.5,0.5,5.2,10.4,0.5,0.0,0.0,,3.5,1.7,5.2,1.7,0.0,0.0,1.7,3.5,15.6,,110,114
Darrell Griffith,32,3,0,9,27.9,39.0,0.7140000000000001,0.0,0.0,,27.9,39.0,0.7140000000000001,0.0,0.0,,5.6,5.6,11.2,0.0,0.0,0.0,5.6,0.0,55.8,,117,112
Walter Palmer,22,2,0,6,8.4,33.5,0.25,0.0,0.0,,8.4,33.5,0.25,0.0,0.0,,0.0,8.4,8.4,0.0,0.0,0.0,8.4,25.1,16.7,,42,108
Andy Toolson,25,2,0,4,0.0,25.1,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,,28,90
