PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Tim Hardaway,24,9,9,396,10.9,22.4,0.486,2.1,5.8,0.354,8.8,16.6,0.5329999999999999,3.6,4.6,0.789,0.6,3.4,4.0,12.2,3.4,0.8,3.0,2.7,27.5,,116,113
Mitch Richmond,25,9,9,372,10.9,21.8,0.503,1.0,3.1,0.33299999999999996,9.9,18.7,0.531,3.0,3.1,0.958,1.3,4.8,6.1,2.8,0.6,0.8,2.2,3.6,25.9,,109,118
Chris Mullin,27,8,8,366,9.0,17.1,0.527,1.2,1.7,0.6920000000000001,7.9,15.4,0.508,5.6,6.5,0.86,1.2,6.4,7.6,3.0,2.0,1.6,3.3,3.0,24.9,,113,113
Rod Higgins,31,9,3,214,5.8,13.7,0.426,1.8,5.8,0.308,4.0,7.8,0.514,5.1,6.3,0.821,2.0,4.5,6.5,4.0,0.4,1.8,1.6,6.3,18.6,,118,117
Šarūnas Marčiulionis,26,9,0,206,9.8,19.5,0.5,0.0,0.2,0.0,9.8,19.3,0.506,8.1,9.1,0.897,1.9,3.5,5.3,6.3,2.6,0.2,3.3,4.9,27.7,,116,115
Mario Elie,27,9,7,197,6.8,13.6,0.5,0.2,0.2,1.0,6.6,13.4,0.491,6.6,7.8,0.8440000000000001,4.1,3.6,7.8,3.2,1.2,0.2,2.4,7.8,20.4,,120,117
Jim Petersen,28,9,4,117,4.9,7.0,0.706,0.0,0.0,,4.9,7.0,0.706,2.0,3.3,0.625,1.6,9.4,11.1,1.2,0.8,1.6,0.8,14.3,11.9,,136,113
Tom Tolbert,25,9,0,116,5.8,13.6,0.424,0.4,1.2,0.33299999999999996,5.4,12.4,0.433,1.2,4.5,0.273,0.0,7.4,7.4,3.3,1.2,1.7,1.7,12.0,13.2,,85,113
Tyrone Hill,22,9,0,80,5.4,8.4,0.643,0.0,0.6,0.0,5.4,7.8,0.6920000000000001,2.4,3.6,0.667,4.2,9.6,13.8,1.2,1.8,2.4,1.2,15.0,13.2,,133,110
Alton Lister,32,6,5,72,8.0,16.6,0.48,0.0,0.0,,8.0,16.6,0.48,1.3,3.3,0.4,4.7,14.0,18.6,1.3,0.0,4.7,5.3,10.0,17.3,,84,109
Vincent Askew,24,6,0,41,7.0,17.5,0.4,0.0,0.0,,7.0,17.5,0.4,3.5,7.0,0.5,5.8,7.0,12.9,2.3,2.3,0.0,0.0,7.0,17.5,,107,113
Paul Mokeski,34,3,0,8,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,0.0,0.0,,0.0,12.0,12.0,6.0,6.0,0.0,6.0,24.0,12.0,,99,101
