Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,9,DET,Detroit Pistons,34,Ken Austin,SF,6-9,205,1961-07-15,US,R,Rice University
1984,9,DET,Detroit Pistons,54,Kent Benson,C,6-10,235,1954-12-27,US,6,Indiana
1984,9,DET,Detroit Pistons,23,Earl Cureton,C,6-9,210,1957-09-03,US,3,"Robert Morris University (PA), Detroit Mercy"
1984,9,DET,Detroit Pistons,9,Lionel Hollins,PG,6-3,185,1953-10-19,US,8,Arizona State
1984,9,DET,Detroit Pistons,15,Vinnie Johnson,SG,6-2,200,1956-09-01,US,4,Baylor
1984,9,DET,Detroit Pistons,40,Bill Laimbeer,C,6-11,245,1957-05-19,US,3,Notre Dame
1984,9,DET,Detroit Pistons,53,Cliff Levingston,PF,6-8,210,1961-01-04,US,1,Wichita State
1984,9,DET,Detroit Pistons,25,John Long,SG,6-5,195,1956-08-28,US,5,Detroit Mercy
1984,9,DET,Detroit Pistons,33,Walker Russell,PG,6-5,195,1960-10-26,US,1,"Houston, Western Michigan"
1984,9,DET,Detroit Pistons,22,David Thirdkill,SF,6-7,195,1960-04-12,US,1,Bradley
1984,9,DET,Detroit Pistons,11,Isiah Thomas,PG,6-1,180,1961-04-30,US,2,Indiana
1984,9,DET,Detroit Pistons,24,Ray Tolbert,PF,6-9,225,1958-09-10,US,2,Indiana
1984,9,DET,Detroit Pistons,7,Kelly Tripucka,SF,6-6,220,1959-02-16,US,2,Notre Dame
1984,9,DET,Detroit Pistons,41,Terry Tyler,SF,6-7,215,1956-10-30,US,5,Detroit Mercy
