Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018,10,305,GSW,Golden State Warriors,Chris Boucher,"January 11, 1993",25.0,NBA,PF,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,28,305,TOR,Toronto Raptors,Chris Boucher,"January 11, 1993",26.0,NBA,PF,28.0,0.0,5.8,1.2,2.7,0.45,0.4,1.3,0.32,0.8,1.4,0.56,0.53,0.5,0.5,0.87,0.6,1.4,2.0,0.1,0.2,0.9,0.3,1.1,3.3
2020,28,305,TOR,Toronto Raptors,Chris Boucher,"January 11, 1993",27.0,NBA,C,62.0,0.0,13.2,2.3,4.8,0.47,0.6,1.9,0.32,1.7,2.9,0.57,0.54,1.5,1.9,0.78,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6
2021,28,305,TOR,Toronto Raptors,Chris Boucher,"January 11, 1993",28.0,NBA,C,30.0,1.0,23.3,4.7,8.9,0.52,1.5,3.6,0.43,3.1,5.4,0.58,0.61,2.4,3.1,0.76,2.0,4.7,6.6,1.1,0.5,2.0,0.7,2.7,13.2
