Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,27,2556,SAS,San Antonio Spurs,22.0,NBA,SF,26.0,0.0,393.0,7.0,14.4,0.48,0.0,0.2,0.0,7.0,14.2,0.49,2.8,3.9,0.72,2.8,5.8,8.6,1.7,1.6,0.5,2.6,5.2,16.8
1984,24,2556,PHO,Phoenix Suns,23.0,NBA,SF,50.0,0.0,586.0,6.0,12.5,0.48,0.0,0.0,,6.0,12.5,0.48,1.8,2.6,0.69,2.5,3.9,6.3,2.7,1.4,0.7,2.7,6.2,13.7
1985,24,2556,PHO,Phoenix Suns,24.0,NBA,SF,21.0,11.0,418.0,7.3,15.1,0.49,0.0,0.0,,7.3,15.1,0.49,3.9,5.1,0.76,3.3,4.4,7.7,2.5,2.0,0.3,2.9,5.1,18.5
1986,24,2556,PHO,Phoenix Suns,25.0,NBA,SF,82.0,5.0,1644.0,7.6,14.8,0.51,0.1,0.3,0.2,7.5,14.5,0.52,4.6,5.6,0.81,2.3,3.7,6.0,3.3,1.7,0.7,3.1,5.2,19.8
1987,24,2556,PHO,Phoenix Suns,26.0,NBA,SF,82.0,4.0,1655.0,7.8,15.7,0.49,0.0,0.4,0.12,7.7,15.3,0.5,3.1,4.0,0.78,2.2,3.7,5.9,2.7,1.3,0.5,2.3,4.6,18.7
1988,31,2556,TOT,Total After Trade,27.0,NBA,SF,59.0,16.0,883.0,6.2,12.4,0.5,0.0,0.0,0.0,6.2,12.3,0.51,2.4,3.1,0.78,1.5,2.9,4.4,2.3,1.3,0.4,2.0,5.3,14.9
1988,24,2556,PHO,Phoenix Suns,27.0,NBA,SF,35.0,5.0,466.0,6.3,13.2,0.48,0.0,0.1,0.0,6.3,13.1,0.48,3.0,4.1,0.74,2.2,2.6,4.8,2.3,1.4,0.3,2.1,5.6,15.7
1988,6,2556,CLE,Cleveland Cavaliers,27.0,NBA,SF,24.0,11.0,417.0,6.1,11.4,0.54,0.0,0.0,,6.1,11.4,0.54,1.7,2.0,0.87,0.9,3.2,4.1,2.2,1.1,0.4,2.0,5.0,14.0
1989,6,2556,CLE,Cleveland Cavaliers,28.0,NBA,SF,82.0,82.0,2102.0,5.7,12.6,0.45,0.1,0.2,0.3,5.6,12.4,0.46,1.7,2.3,0.72,1.7,3.6,5.3,2.3,1.5,0.5,1.8,3.9,13.1
1990,12,2556,IND,Indiana Pacers,29.0,NBA,SF,82.0,13.0,1531.0,5.3,11.3,0.47,0.1,0.3,0.36,5.2,10.9,0.47,1.3,1.8,0.73,1.8,3.6,5.4,2.1,1.0,0.5,1.9,5.2,12.0
1991,12,2556,IND,Indiana Pacers,30.0,NBA,SF,80.0,7.0,1357.0,5.5,13.1,0.42,0.1,0.5,0.2,5.4,12.6,0.43,1.2,1.5,0.82,1.9,3.0,4.9,2.8,1.0,0.7,1.7,5.3,12.3
1992,31,2556,TOT,Total After Trade,31.0,NBA,SF,31.0,20.0,633.0,5.2,9.2,0.57,0.1,0.2,0.33,5.2,9.0,0.58,2.0,2.7,0.77,1.5,3.9,5.5,3.0,1.4,0.6,1.3,4.7,12.6
1992,12,2556,IND,Indiana Pacers,31.0,NBA,SF,10.0,0.0,81.0,4.9,9.8,0.5,0.0,0.0,,4.9,9.8,0.5,2.2,2.7,0.83,0.0,3.6,3.6,4.9,0.9,0.4,2.7,3.6,12.0
1992,6,2556,CLE,Cleveland Cavaliers,31.0,NBA,SF,21.0,20.0,552.0,5.3,9.1,0.58,0.1,0.2,0.33,5.2,8.9,0.59,2.0,2.7,0.76,1.8,4.0,5.7,2.7,1.4,0.6,1.0,4.9,12.7
1993,6,2556,CLE,Cleveland Cavaliers,32.0,NBA,SF,53.0,51.0,1189.0,6.0,12.0,0.5,0.0,0.1,0.25,5.9,11.9,0.5,1.8,2.4,0.76,1.6,3.6,5.1,2.3,1.2,0.9,1.7,4.5,13.7
