Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2010,10,657,GSW,Golden State Warriors,21.0,NBA,PG,80,77,2896,528,1143,0.46,166,380,0.44,362,763,0.47,0.54,177,200,0.88,48,308,356,472,152,19,243,252,1399,,1
2011,10,657,GSW,Golden State Warriors,22.0,NBA,PG,74,74,2489,505,1053,0.48,151,342,0.44,354,711,0.5,0.55,212,227,0.93,52,234,286,432,109,20,226,233,1373,,0
2012,10,657,GSW,Golden State Warriors,23.0,NBA,PG,26,23,732,145,296,0.49,55,121,0.46,90,175,0.51,0.58,38,47,0.81,15,73,88,138,39,8,65,62,383,,0
2013,10,657,GSW,Golden State Warriors,24.0,NBA,PG,78,78,2983,626,1388,0.45,272,600,0.45,354,788,0.45,0.55,262,291,0.9,59,255,314,539,126,12,240,198,1786,,0
2014,10,657,GSW,Golden State Warriors,25.0,NBA,PG,78,78,2846,652,1383,0.47,261,615,0.42,391,768,0.51,0.57,308,348,0.88,46,288,334,666,128,14,294,194,1873,,4
2015,10,657,GSW,Golden State Warriors,26.0,NBA,PG,80,80,2613,653,1341,0.49,286,646,0.44,367,695,0.53,0.59,308,337,0.91,56,285,341,619,163,16,249,158,1900,,0
2016,10,657,GSW,Golden State Warriors,27.0,NBA,PG,79,79,2700,805,1598,0.5,402,886,0.45,403,712,0.57,0.63,363,400,0.91,68,362,430,527,169,15,262,161,2375,,2
2017,10,657,GSW,Golden State Warriors,28.0,NBA,PG,79,79,2638,675,1443,0.47,324,789,0.41,351,654,0.54,0.58,325,362,0.9,61,292,353,524,142,17,239,183,1999,,0
2018,10,657,GSW,Golden State Warriors,29.0,NBA,PG,51,51,1631,428,864,0.5,212,501,0.42,216,363,0.6,0.62,278,302,0.92,36,225,261,310,80,8,153,114,1346,,0
2019,10,657,GSW,Golden State Warriors,30.0,NBA,PG,69,69,2331,632,1340,0.47,354,810,0.44,278,530,0.52,0.6,263,287,0.92,45,324,369,361,92,25,192,166,1881,,0
2020,10,657,GSW,Golden State Warriors,31.0,NBA,PG,5,5,139,33,82,0.4,12,49,0.24,21,33,0.64,0.48,26,26,1.0,4,22,26,33,5,2,16,11,104,,0
2021,10,657,GSW,Golden State Warriors,32.0,NBA,PG,16,16,542,146,322,0.45,67,177,0.38,79,145,0.55,0.56,88,95,0.93,10,79,89,99,19,2,54,36,447,,0
