Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1986,23.0,DAL,NBA,SF,64.0,12.0,969.0,6.9,15.3,0.451,0.1,0.3,0.429,6.7,14.9,0.451,5.3,7.4,0.724,3.4,6.2,9.6,4.3,1.1,0.5,4.1,8.0,19.2,,101.0,112.0
1987,24.0,DAL,NBA,SF,81.0,5.0,1711.0,7.4,15.7,0.472,0.9,1.9,0.478,6.5,13.7,0.472,5.4,7.3,0.742,2.4,6.0,8.5,4.5,1.4,0.4,3.1,6.3,21.1,,113.0,110.0
1988,25.0,DAL,NBA,SF,82.0,4.0,1587.0,7.7,16.8,0.456,0.2,1.0,0.156,7.5,15.8,0.475,6.3,8.3,0.756,3.2,5.5,8.7,5.0,1.3,1.0,3.4,5.9,21.8,,111.0,109.0
1989,26.0,TOT,NBA,PF,69.0,13.0,1850.0,7.3,15.4,0.474,0.2,0.9,0.2,7.1,14.4,0.492,7.3,9.3,0.78,3.3,7.1,10.5,4.8,1.4,0.5,3.5,5.8,22.0,,112.0,110.0
1989,26.0,DAL,NBA,PF,37.0,1.0,845.0,6.6,15.6,0.426,0.1,0.9,0.125,6.5,14.6,0.445,7.5,9.5,0.789,3.3,6.5,9.8,5.1,1.4,0.5,3.3,7.0,20.9,,109.0,109.0
1989,26.0,IND,NBA,PF,32.0,12.0,1005.0,7.8,15.2,0.514,0.2,0.9,0.263,7.6,14.3,0.53,7.0,9.1,0.772,3.4,7.7,11.0,4.5,1.4,0.5,3.7,4.9,22.9,,115.0,110.0
1990,27.0,IND,NBA,PF,78.0,18.0,2573.0,8.2,15.8,0.516,0.3,0.9,0.354,7.8,14.9,0.526,7.7,9.4,0.82,2.9,9.1,11.9,4.7,1.1,0.3,3.5,5.2,24.4,,119.0,110.0
1991,28.0,IND,NBA,PF,82.0,3.0,2632.0,7.9,15.3,0.52,0.3,0.7,0.375,7.7,14.5,0.527,8.1,9.9,0.818,3.3,8.8,12.1,5.5,1.1,0.4,3.2,4.8,24.2,,122.0,111.0
1992,29.0,IND,NBA,PF,80.0,4.0,2605.0,9.2,17.2,0.536,0.4,1.3,0.324,8.8,15.9,0.554,6.8,8.2,0.828,3.8,10.6,14.3,5.8,1.2,0.7,3.6,5.3,25.7,,121.0,108.0
1993,30.0,IND,NBA,PF,82.0,60.0,3098.0,8.3,17.5,0.476,0.1,0.8,0.154,8.2,16.7,0.493,8.5,10.5,0.804,3.4,9.2,12.6,8.0,1.3,0.4,3.9,4.9,25.3,,117.0,109.0
1994,31.0,SEA,NBA,SF,81.0,80.0,2728.0,8.2,16.7,0.493,0.4,1.3,0.324,7.8,15.4,0.507,5.5,7.2,0.769,2.7,5.7,8.4,5.1,1.4,0.2,3.2,5.0,22.4,,114.0,105.0
1995,32.0,SEA,NBA,SF,82.0,82.0,2886.0,9.1,17.4,0.523,1.6,3.2,0.514,7.5,14.2,0.525,7.6,9.1,0.839,2.4,6.5,8.8,5.4,1.6,0.6,3.1,4.4,27.4,,127.0,108.0
1996,33.0,SEA,NBA,SF,63.0,60.0,2200.0,8.4,17.2,0.486,1.7,4.2,0.408,6.7,13.0,0.512,6.7,8.6,0.776,1.7,5.9,7.6,6.4,1.3,0.2,3.4,4.2,25.1,,118.0,105.0
1997,34.0,SEA,NBA,SF,61.0,60.0,2192.0,8.6,17.6,0.492,1.4,3.9,0.354,7.2,13.7,0.531,6.1,7.7,0.801,2.1,7.4,9.6,6.4,1.5,0.4,3.6,3.7,24.8,,116.0,104.0
1998,35.0,SEA,NBA,SF,78.0,78.0,2742.0,8.5,17.5,0.487,1.2,2.9,0.415,7.3,14.6,0.501,5.8,6.9,0.844,2.6,8.2,10.8,6.6,1.2,0.4,3.3,4.0,24.0,,118.0,105.0
1999,36.0,SEA,NBA,SF,50.0,39.0,1765.0,7.9,16.7,0.472,1.0,2.6,0.395,6.8,14.0,0.486,6.1,7.4,0.823,2.3,8.9,11.2,5.6,1.2,0.8,3.1,4.6,22.8,,116.0,106.0
2001,38.0,POR,NBA,SF,26.0,0.0,397.0,5.3,12.9,0.411,0.4,1.1,0.375,4.9,11.8,0.414,3.1,3.7,0.852,2.3,8.3,10.6,6.0,0.9,0.4,3.8,5.8,14.1,,97.0,103.0
