Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,25,POR,Portland Trail Blazers,Clyde Drexler,28,16,16,633,128,269,0.48,15,56,0.27,113,213,0.53,0.5,76,98,0.78,40,89,129,129,34,16,61,56,347
1991,25,POR,Portland Trail Blazers,Terry Porter,27,16,16,595,102,204,0.5,17,47,0.36,85,157,0.54,0.54,68,79,0.86,8,36,44,105,24,1,32,32,289
1991,25,POR,Portland Trail Blazers,Jerome Kersey,28,16,16,588,105,226,0.46,0,0,,105,226,0.46,0.46,76,101,0.75,52,59,111,49,28,7,17,68,286
1991,25,POR,Portland Trail Blazers,Buck Williams,30,16,16,572,65,130,0.5,0,0,,65,130,0.5,0.5,35,58,0.6,53,90,143,14,10,4,24,55,165
1991,25,POR,Portland Trail Blazers,Kevin Duckworth,26,16,16,511,73,182,0.4,0,0,,73,182,0.4,0.4,41,56,0.73,40,67,107,14,8,8,39,53,187
1991,25,POR,Portland Trail Blazers,Clifford Robinson,24,16,0,354,63,117,0.54,1,3,0.33,62,114,0.54,0.54,38,69,0.55,24,39,63,18,7,16,25,47,165
1991,25,POR,Portland Trail Blazers,Danny Ainge,31,16,0,277,47,105,0.45,11,36,0.31,36,69,0.52,0.5,23,28,0.82,1,27,28,31,12,4,24,33,128
1991,25,POR,Portland Trail Blazers,Mark Bryant,25,14,0,137,10,22,0.46,0,0,,10,22,0.46,0.46,14,16,0.88,14,18,32,2,2,1,4,25,34
1991,25,POR,Portland Trail Blazers,Walter Davis,36,13,0,111,19,48,0.4,0,1,0.0,19,47,0.4,0.4,5,6,0.83,7,8,15,6,4,0,7,5,43
1991,25,POR,Portland Trail Blazers,Danny Young,28,7,0,36,6,11,0.55,0,1,0.0,6,10,0.6,0.55,0,0,,0,0,0,7,0,0,2,0,12
1991,25,POR,Portland Trail Blazers,Alaa Abdelnaby,22,5,0,13,2,6,0.33,0,0,,2,6,0.33,0.33,0,0,,1,2,3,0,0,0,0,0,4
1991,25,POR,Portland Trail Blazers,Wayne Cooper,34,3,0,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,4,5,1,0,0,1,2,2
