SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,5,CHI,Scottie Pippen,25,17,17,704,142,282,0.5,4,17,0.24,138,265,0.52,0.51,80,101,0.79,37,114,151,99,42,19,55,58,368
1991,5,CHI,Michael Jordan,27,17,17,689,197,376,0.52,10,26,0.38,187,350,0.53,0.54,125,148,0.84,18,90,108,142,40,23,43,53,529
1991,5,CHI,Horace Grant,25,17,17,666,91,156,0.58,0,0,,91,156,0.58,0.58,44,60,0.73,56,82,138,38,15,6,20,45,226
1991,5,CHI,Bill Cartwright,33,17,17,511,70,135,0.52,0,0,,70,135,0.52,0.52,22,32,0.69,25,55,80,32,9,7,21,55,162
1991,5,CHI,John Paxson,30,17,17,487,62,117,0.53,2,14,0.14,60,103,0.58,0.54,14,14,1.0,2,21,23,53,11,0,6,32,140
1991,5,CHI,B.J. Armstrong,23,17,0,273,35,70,0.5,3,5,0.6,32,65,0.49,0.52,20,25,0.8,5,22,27,43,19,1,13,13,93
1991,5,CHI,Craig Hodges,30,17,0,209,33,78,0.42,11,28,0.39,22,50,0.44,0.49,3,4,0.75,0,4,4,10,11,0,11,21,80
1991,5,CHI,Will Perdue,25,17,0,198,29,53,0.55,0,0,,29,53,0.55,0.55,12,22,0.55,32,33,65,4,2,8,14,41,70
1991,5,CHI,Cliff Levingston,30,17,0,192,21,41,0.51,0,0,,21,41,0.51,0.51,3,6,0.5,22,19,41,7,10,7,2,28,45
1991,5,CHI,Stacey King,24,11,0,86,8,27,0.3,0,1,0.0,8,26,0.31,0.3,7,11,0.64,9,13,22,2,1,1,9,15,23
1991,5,CHI,Scott Williams,22,12,0,72,6,13,0.46,0,1,0.0,6,12,0.5,0.46,11,20,0.55,4,16,20,3,1,3,4,15,23
1991,5,CHI,Dennis Hopson,25,5,0,18,2,6,0.33,0,0,,2,6,0.33,0.33,4,9,0.44,2,2,4,1,0,1,1,2,8
