Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,23,PHI,Philadelphia 76Ers,Hersey Hawkins,24,8,8,329,47,101,0.46,14,26,0.54,33,75,0.44,0.54,59,63,0.94,8,38,46,27,20,10,16,29,167
1991,23,PHI,Philadelphia 76Ers,Charles Barkley,27,8,8,326,74,125,0.59,2,20,0.1,72,105,0.69,0.6,49,75,0.65,31,53,84,48,15,3,25,23,199
1991,23,PHI,Philadelphia 76Ers,Armen Gilliam,26,8,8,287,48,104,0.46,0,0,,48,104,0.46,0.46,39,46,0.85,14,38,52,10,5,6,15,16,135
1991,23,PHI,Philadelphia 76Ers,Ron Anderson,32,8,0,223,35,88,0.4,1,5,0.2,34,83,0.41,0.4,17,19,0.9,9,12,21,19,6,0,12,24,88
1991,23,PHI,Philadelphia 76Ers,Rick Mahorn,32,8,8,208,20,36,0.56,0,0,,20,36,0.56,0.56,11,14,0.79,7,35,42,14,2,4,8,25,51
1991,23,PHI,Philadelphia 76Ers,Rickey Green,36,8,8,199,24,55,0.44,3,4,0.75,21,51,0.41,0.46,8,9,0.89,1,8,9,22,7,0,13,9,59
1991,23,PHI,Philadelphia 76Ers,Andre Turner,26,8,0,189,21,48,0.44,3,9,0.33,18,39,0.46,0.47,13,16,0.81,2,11,13,35,11,0,8,12,58
1991,23,PHI,Philadelphia 76Ers,Manute Bol,28,8,0,109,9,18,0.5,0,0,,9,18,0.5,0.5,6,9,0.67,4,15,19,1,1,12,5,14,24
1991,23,PHI,Philadelphia 76Ers,Robert Reid,35,7,0,41,3,9,0.33,0,1,0.0,3,8,0.38,0.33,0,0,,1,7,8,2,1,0,2,7,6
1991,23,PHI,Philadelphia 76Ers,Brian Oliver,22,4,0,15,2,6,0.33,0,0,,2,6,0.33,0.33,2,2,1.0,0,0,0,1,1,0,0,4,6
1991,23,PHI,Philadelphia 76Ers,Jayson Williams,22,4,0,10,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,2,2,4,0,0,0,1,1,8
1991,23,PHI,Philadelphia 76Ers,Dave Hoppen,26,3,0,9,3,3,1.0,0,0,,3,3,1.0,1.0,0,2,0.0,0,3,3,0,0,0,0,1,6
