SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,21,SEA,Eddie Johnson,31,5,5,171,46,89,0.52,4,15,0.27,42,74,0.57,0.54,24,29,0.83,12,9,21,7,7,1,8,13,120
1991,21,SEA,Benoit Benjamin,26,5,5,163,20,41,0.49,0,0,,20,41,0.49,0.49,29,32,0.91,7,26,33,1,3,13,11,17,69
1991,21,SEA,Shawn Kemp,21,5,5,149,22,57,0.39,0,1,0.0,22,56,0.39,0.39,22,27,0.82,13,23,36,6,3,4,16,20,66
1991,21,SEA,Sedale Threatt,29,5,5,136,30,56,0.54,4,11,0.36,26,45,0.58,0.57,9,10,0.9,1,7,8,17,5,0,8,14,73
1991,21,SEA,Gary Payton,22,5,5,135,11,27,0.41,0,1,0.0,11,26,0.42,0.41,2,2,1.0,5,8,13,32,8,1,9,16,24
1991,21,SEA,Derrick McKey,24,4,0,114,16,28,0.57,0,1,0.0,16,27,0.59,0.57,6,11,0.55,7,16,23,8,3,0,6,13,38
1991,21,SEA,Ricky Pierce,31,5,0,112,19,57,0.33,3,10,0.3,16,47,0.34,0.36,16,17,0.94,6,8,14,4,4,1,11,12,57
1991,21,SEA,Nate McMillan,26,5,0,95,6,23,0.26,0,2,0.0,6,21,0.29,0.26,2,4,0.5,6,12,18,22,6,1,3,15,14
1991,21,SEA,Michael Cage,29,5,0,80,6,14,0.43,0,0,,6,14,0.43,0.43,13,17,0.76,9,12,21,2,3,2,3,12,25
1991,21,SEA,Dana Barros,23,3,0,25,9,13,0.69,2,5,0.4,7,8,0.88,0.77,3,4,0.75,1,3,4,5,3,0,3,1,23
1991,21,SEA,Dave Corzine,34,2,0,12,2,3,0.67,0,0,,2,3,0.67,0.67,1,1,1.0,0,1,1,0,0,0,0,1,5
1991,21,SEA,Scott Meents,27,2,0,8,2,4,0.5,0,0,,2,4,0.5,0.5,0,1,0.0,0,1,1,0,1,0,0,1,4
