SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,17,MIL,Jay Humphries,28,3,3,123,17,32,0.53,2,5,0.4,15,27,0.56,0.56,9,10,0.9,2,4,6,25,2,0,6,17,45
1991,17,MIL,Alvin Robertson,28,3,3,118,29,49,0.59,3,9,0.33,26,40,0.65,0.62,10,13,0.77,7,11,18,15,8,0,10,12,71
1991,17,MIL,Frank Brickowski,31,3,3,110,24,45,0.53,0,2,0.0,24,43,0.56,0.53,7,14,0.5,5,21,26,3,1,2,6,16,55
1991,17,MIL,Fred Roberts,30,3,3,103,16,35,0.46,0,1,0.0,16,34,0.47,0.46,2,2,1.0,4,11,15,7,2,1,5,5,34
1991,17,MIL,Danny Schayes,31,3,3,71,9,23,0.39,0,1,0.0,9,22,0.41,0.39,10,11,0.91,4,8,12,3,3,1,6,8,28
1991,17,MIL,Jack Sikma,35,3,0,51,6,15,0.4,1,2,0.5,5,13,0.38,0.43,1,2,0.5,3,9,12,6,5,1,3,4,14
1991,17,MIL,Brad Lohaus,26,3,0,41,5,16,0.31,3,8,0.38,2,8,0.25,0.41,1,2,0.5,4,5,9,1,0,0,3,6,14
1991,17,MIL,Steve Henson,22,3,0,40,6,12,0.5,2,3,0.67,4,9,0.44,0.58,3,4,0.75,0,3,3,3,1,0,6,3,17
1991,17,MIL,Jeff Grayer,25,3,0,37,5,13,0.38,0,0,,5,13,0.38,0.38,5,6,0.83,3,3,6,6,1,0,3,2,15
1991,17,MIL,Larry Krystkowiak,26,3,0,25,1,6,0.17,0,0,,1,6,0.17,0.17,0,0,,0,3,3,2,1,0,0,3,2
1991,17,MIL,Adrian Dantley,35,3,0,19,1,7,0.14,0,0,,1,7,0.14,0.14,3,4,0.75,2,2,4,0,0,0,2,0,5
1991,17,MIL,Lester Conner,31,1,0,7,1,1,1.0,0,0,,1,1,1.0,1.0,0,1,0.0,1,0,1,2,0,0,1,1,2
