SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,20,NYK,Patrick Ewing,28,3,3,110,18,45,0.4,0,0,,18,45,0.4,0.4,14,18,0.78,2,28,30,6,1,5,11,12,50
1991,20,NYK,Maurice Cheeks,34,3,3,101,14,23,0.61,1,3,0.33,13,20,0.65,0.63,1,2,0.5,3,6,9,16,3,1,8,9,30
1991,20,NYK,Charles Oakley,27,3,3,100,10,21,0.48,0,0,,10,21,0.48,0.48,3,6,0.5,15,16,31,3,2,1,7,13,23
1991,20,NYK,Kiki Vandeweghe,32,3,3,99,13,32,0.41,3,5,0.6,10,27,0.37,0.45,22,25,0.88,1,7,8,4,1,0,12,8,51
1991,20,NYK,Gerald Wilkins,27,3,1,78,14,38,0.37,2,7,0.29,12,31,0.39,0.4,2,2,1.0,2,6,8,5,5,1,8,11,32
1991,20,NYK,Trent Tucker,31,3,2,66,9,25,0.36,4,10,0.4,5,15,0.33,0.44,2,2,1.0,3,9,12,9,1,0,1,7,24
1991,20,NYK,Mark Jackson,25,3,0,36,1,3,0.33,0,0,,1,3,0.33,0.33,0,0,,0,0,0,8,1,1,5,1,2
1991,20,NYK,Brian Quinnett,24,3,0,36,4,8,0.5,1,3,0.33,3,5,0.6,0.56,0,0,,0,1,1,3,1,0,2,2,9
1991,20,NYK,Kenny Walker,26,3,0,31,4,8,0.5,0,0,,4,8,0.5,0.5,2,2,1.0,2,5,7,2,1,1,3,8,10
1991,20,NYK,John Starks,25,3,0,28,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,1,2,3,6,0,0,6,4,6
1991,20,NYK,Jerrod Mustaf,21,3,0,22,4,5,0.8,0,0,,4,5,0.8,0.8,4,5,0.8,3,2,5,0,0,1,1,2,12
1991,20,NYK,Eddie Lee Wilkins,28,1,0,13,4,6,0.67,0,0,,4,6,0.67,0.67,1,2,0.5,2,0,2,0,0,0,2,4,9
