Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,23,2401,PHI,Philadelphia 76Ers,Shavlik Randolph,1983-11-24,22.0,NBA,PF,57.0,1.0,487.0,3.3,7.2,0.45,0.0,0.0,,3.3,7.2,0.45,3.2,5.2,0.61,4.1,5.8,9.8,1.4,1.4,0.9,1.6,6.1,9.7
2007,23,2401,PHI,Philadelphia 76Ers,Shavlik Randolph,1983-11-24,23.0,NBA,PF,13.0,6.0,179.0,4.6,9.7,0.48,0.0,0.0,,4.6,9.7,0.48,2.4,4.4,0.55,3.8,7.0,10.9,0.8,1.4,2.0,1.8,4.6,11.7
2008,23,2401,PHI,Philadelphia 76Ers,Shavlik Randolph,1983-11-24,24.0,NBA,PF,9.0,0.0,27.0,5.3,18.7,0.29,0.0,0.0,,5.3,18.7,0.29,0.0,0.0,,12.0,2.7,14.7,4.0,1.3,4.0,2.7,6.7,10.7
2009,25,2401,POR,Portland Trail Blazers,Shavlik Randolph,1983-11-24,25.0,NBA,PF,10.0,0.0,37.0,7.8,12.6,0.62,1.0,1.0,1.0,6.8,11.7,0.58,1.0,3.9,0.25,9.7,7.8,17.5,0.0,0.0,1.0,5.8,3.9,17.5
2010,31,2401,TOT,Total After Trade,Shavlik Randolph,1983-11-24,26.0,NBA,PF,6.0,0.0,53.0,4.1,12.2,0.33,0.0,0.0,,4.1,12.2,0.33,1.4,1.4,1.0,4.8,4.8,9.5,0.7,0.7,0.7,2.0,6.1,9.5
2010,16,2401,MIA,Miami Heat,Shavlik Randolph,1983-11-24,26.0,NBA,PF,3.0,0.0,47.0,3.8,11.5,0.33,0.0,0.0,,3.8,11.5,0.33,0.0,0.0,,5.4,4.6,10.0,0.0,0.8,0.8,1.5,6.9,7.7
2010,25,2401,POR,Portland Trail Blazers,Shavlik Randolph,1983-11-24,26.0,NBA,PF,3.0,0.0,6.0,6.0,18.0,0.33,0.0,0.0,,6.0,18.0,0.33,12.0,12.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,0.0,24.0
2013,2,2401,BOS,Boston Celtics,Shavlik Randolph,1983-11-24,29.0,NBA,PF,16.0,0.0,198.0,5.1,8.7,0.58,0.0,0.0,,5.1,8.7,0.58,2.0,4.9,0.41,5.1,7.6,12.7,0.7,1.5,1.3,1.8,6.9,12.2
2014,24,2401,PHO,Phoenix Suns,Shavlik Randolph,1983-11-24,30.0,NBA,PF,14.0,0.0,95.0,2.7,5.3,0.5,0.0,0.0,,2.7,5.3,0.5,2.3,4.2,0.55,2.7,6.8,9.5,0.4,1.1,0.4,1.9,5.7,7.6
2015,31,2401,TOT,Total After Trade,Shavlik Randolph,1983-11-24,31.0,NBA,PF,21.0,0.0,126.0,2.6,10.0,0.26,0.0,1.4,0.0,2.6,8.6,0.3,1.7,3.4,0.5,4.6,6.3,10.9,1.1,1.4,0.9,0.9,4.6,6.9
2015,24,2401,PHO,Phoenix Suns,Shavlik Randolph,1983-11-24,31.0,NBA,PF,16.0,0.0,101.0,2.1,8.9,0.24,0.0,1.4,0.0,2.1,7.5,0.29,1.8,3.6,0.5,4.3,5.0,9.3,1.1,1.4,0.7,0.7,4.6,6.1
2015,2,2401,BOS,Boston Celtics,Shavlik Randolph,1983-11-24,31.0,NBA,PF,5.0,0.0,25.0,4.3,14.4,0.3,0.0,1.4,0.0,4.3,13.0,0.33,1.4,2.9,0.5,5.8,11.5,17.3,1.4,1.4,1.4,1.4,4.3,10.1
