Season,Team ID,Team ABV,Team,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2014,11,HOU,Houston Rockets,1-1,2-0,1-1,2-0,1-1,2-0,2-2,2-1,2-0,2-1,,1-1,0-4,3-1,2-2,1-1,2-0,3-1,3-1,2-0,1-3,2-0,1-1,2-1,3-1,2-2,4-0,1-1,2-1,2-0
2014,12,IND,Indiana Pacers,2-2,4-0,4-0,2-1,2-2,3-1,0-2,1-1,3-1,1-1,1-1,,2-0,2-0,1-1,2-2,4-0,1-1,2-0,2-1,1-1,3-1,3-0,0-2,1-1,2-0,1-1,2-2,2-0,2-1
2014,13,LAC,Los Angeles Clippers,1-1,2-0,1-1,1-1,2-0,1-1,3-1,2-2,2-0,2-2,4-0,0-2,,3-1,1-2,0-2,2-0,4-0,3-1,2-0,2-2,1-1,2-0,3-1,1-2,4-0,1-2,2-0,3-0,2-0
2014,14,LAL,Los Angeles Lakers,1-1,2-0,1-1,1-1,0-2,1-1,0-3,0-3,2-0,1-3,1-3,0-2,1-3,,1-3,0-2,0-2,1-3,1-2,1-1,1-3,1-1,1-1,1-3,1-2,3-1,1-3,1-1,2-2,0-2
2014,15,MEM,Memphis Grizzlies,2-0,2-0,0-2,1-1,1-1,1-1,1-3,3-1,2-0,2-2,2-2,1-1,2-1,3-1,,1-1,2-0,2-2,1-3,2-0,1-3,2-0,2-0,4-0,2-1,3-0,0-4,0-2,3-0,2-0
2014,16,MIA,Miami Heat,2-2,1-2,0-4,4-0,2-2,3-0,2-0,1-1,3-1,1-1,1-1,2-2,2-0,2-0,1-1,,3-0,1-1,1-1,3-1,1-1,4-0,1-2,2-0,2-0,1-1,1-1,4-0,1-1,2-2
2014,17,MIL,Milwaukee Bucks,0-3,2-2,0-3,0-4,1-3,2-2,0-2,0-2,1-3,0-2,0-2,0-4,0-2,2-0,0-2,0-3,,0-2,0-2,1-3,0-2,2-2,2-1,0-2,0-2,0-2,0-2,0-4,1-1,1-3
2014,18,MIN,Minnesota Timberwolves,1-1,1-1,1-1,1-1,1-1,1-1,3-1,2-2,2-0,1-2,1-3,1-1,0-4,3-1,2-2,1-1,2-0,,2-1,1-1,1-3,1-1,2-0,1-2,1-3,2-2,1-2,0-2,3-1,1-1
2014,19,NOP,New Orleans Pelicans,2-0,2-0,1-1,1-1,2-0,2-0,0-4,2-2,2-0,0-3,1-3,0-2,1-3,2-1,3-1,1-1,2-0,1-2,,1-1,1-2,1-1,2-0,0-4,1-3,1-3,0-4,0-2,2-2,0-2
2014,20,NYK,New York Knicks,2-2,2-2,3-1,2-2,2-2,2-2,1-1,1-1,1-2,1-1,0-2,1-2,0-2,1-1,0-2,1-3,3-1,1-1,1-1,,0-2,2-1,3-1,1-1,0-2,1-1,1-1,2-2,2-0,0-3
2014,21,OKC,Oklahoma City Thunder,2-0,2-0,1-1,2-0,2-0,1-1,1-2,3-1,2-0,2-1,3-1,1-1,2-2,3-1,3-1,1-1,2-0,3-1,2-1,2-0,,1-1,2-0,1-2,2-2,4-0,4-0,1-1,3-1,1-1
2014,22,ORL,Orlando Magic,2-2,1-3,2-2,2-2,1-2,0-4,0-2,0-2,2-1,0-2,0-2,1-3,1-1,1-1,0-2,0-4,2-2,1-1,1-1,1-2,1-1,,3-1,0-2,1-1,0-2,0-2,0-3,0-2,0-4
2014,23,PHI,Philadelphia 76Ers,0-3,3-1,1-3,1-3,1-3,1-3,0-2,1-1,1-3,0-2,1-1,0-3,0-2,1-1,0-2,2-1,1-2,0-2,0-2,1-3,0-2,1-3,,0-2,1-1,1-1,0-2,0-4,0-2,1-3
2014,24,PHO,Phoenix Suns,2-0,2-0,0-2,2-0,0-2,1-1,1-2,4-0,1-1,2-2,1-2,2-0,1-3,3-1,0-4,0-2,2-0,2-1,4-0,1-1,2-1,2-0,2-0,,3-1,2-2,1-3,2-0,2-2,1-1
2014,25,POR,Portland Trail Blazers,2-0,2-0,2-0,1-1,2-0,2-0,1-2,4-0,2-0,2-2,1-3,1-1,2-1,2-1,1-2,0-2,2-0,3-1,3-1,2-0,2-2,1-1,1-1,1-3,,3-1,2-2,2-0,4-0,1-1
2014,26,SAC,Sacramento Kings,0-2,1-1,1-1,0-2,1-1,1-1,1-3,2-1,0-2,0-4,2-2,0-2,0-4,1-3,0-3,1-1,2-0,2-2,3-1,1-1,0-4,2-0,1-1,2-2,1-3,,0-3,1-1,1-2,1-1
2014,27,SAS,San Antonio Spurs,2-0,2-0,1-1,2-0,1-1,2-0,4-0,3-0,1-1,4-0,0-4,1-1,2-1,3-1,4-0,1-1,2-0,2-1,4-0,1-1,0-4,2-0,2-0,3-1,2-2,3-0,,2-0,4-0,2-0
2014,28,TOR,Toronto Raptors,2-2,3-1,2-2,0-3,2-2,2-1,2-0,1-1,3-0,1-1,1-1,2-2,0-2,1-1,2-0,0-4,4-0,2-0,2-0,2-2,1-1,3-0,4-0,0-2,0-2,1-1,0-2,,2-0,3-1
2014,29,UTA,Utah Jazz,0-2,1-1,0-2,2-0,1-1,0-2,0-4,2-2,1-1,0-4,1-2,0-2,0-3,2-2,0-3,1-1,1-1,1-3,2-2,0-2,1-3,2-0,2-0,2-2,0-4,2-1,0-4,0-2,,1-1
2014,30,WAS,Washington Wizards,3-1,3-1,3-0,1-3,2-1,2-2,0-2,0-2,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,3-1,1-1,2-0,3-0,1-1,4-0,3-1,1-1,1-1,1-1,0-2,1-3,1-1,
