Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
2001,1,ATL,Atlanta Hawks,,1-3,0-4,2-2,2-2,0-2,1-1,0-4,2-0,0-2,2-2,1-1,1-1,0-3,1-3,0-2,1-3,2-2,1-3,0-3,0-2,1-1,1-1,0-2,1-1,2-2,0-2,1-1,2-2
2001,2,BOS,Boston Celtics,3-1,,0-4,2-1,2-1,0-2,2-0,3-1,0-2,1-1,1-3,2-0,0-2,2-2,1-3,1-1,4-0,1-3,1-3,0-4,2-0,1-1,0-2,0-2,2-0,1-3,1-1,0-2,3-1
2001,4,CHO,Charlotte Hornets,4-0,4-0,,3-1,2-2,0-2,0-2,2-2,2-0,0-2,3-1,2-0,0-2,2-2,3-1,1-1,4-0,1-2,2-1,2-2,0-2,0-2,1-1,1-1,0-2,3-1,1-1,1-1,2-2
2001,5,CHI,Chicago Bulls,2-2,1-2,1-3,,1-3,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,1-3,0-4,0-2,2-2,1-3,1-3,1-3,0-2,0-2,0-2,1-1,0-2,0-4,0-2,1-1,2-1
2001,6,CLE,Cleveland Cavaliers,2-2,1-2,2-2,3-1,,1-1,1-1,2-2,2-0,0-2,1-3,0-2,0-2,2-2,1-3,0-2,3-0,2-2,1-3,0-4,0-2,1-1,1-1,0-2,0-2,0-4,1-1,1-1,2-2
2001,7,DAL,Dallas Mavericks,2-0,2-0,2-0,2-0,1-1,,3-1,1-1,4-0,2-2,1-1,4-0,0-4,2-0,1-1,3-1,2-0,1-1,1-1,1-1,1-3,2-2,2-2,1-3,3-1,2-0,2-2,3-1,2-0
2001,8,DEN,Denver Nuggets,1-1,0-2,2-0,2-0,1-1,1-3,,1-1,4-0,3-1,1-1,2-2,2-2,0-2,1-1,2-2,1-1,1-1,0-2,1-1,0-4,2-2,2-2,2-2,2-2,0-2,1-3,4-0,1-1
2001,9,DET,Detroit Pistons,4-0,1-3,2-2,4-0,2-2,1-1,1-1,,1-1,0-2,1-3,0-2,0-2,0-4,1-3,0-2,4-0,1-2,2-2,0-4,1-1,0-2,0-2,0-2,2-0,2-2,0-2,1-1,1-2
2001,10,GSW,Golden State Warriors,0-2,2-0,0-2,2-0,0-2,0-4,0-4,1-1,,1-3,2-0,1-3,1-3,0-2,0-2,2-2,1-1,0-2,0-2,0-2,2-2,0-4,0-4,0-4,0-4,0-2,1-3,1-3,0-2
2001,11,HOU,Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-2,1-3,2-0,3-1,,2-0,1-3,1-3,1-1,2-0,2-2,1-1,2-0,1-1,1-1,1-3,1-3,0-4,1-3,2-2,2-0,1-3,4-0,2-0
2001,12,IND,Indiana Pacers,2-2,3-1,1-3,4-0,3-1,1-1,1-1,3-1,0-2,0-2,,2-0,1-1,1-2,2-2,1-1,2-2,2-2,2-2,0-3,1-1,0-2,2-0,0-2,1-1,0-4,0-2,2-0,4-0
2001,13,LAC,Los Angeles Clippers,1-1,0-2,0-2,2-0,2-0,0-4,2-2,2-0,3-1,3-1,0-2,,1-3,0-2,1-1,2-2,0-2,1-1,1-1,1-1,2-2,2-2,1-3,0-4,0-4,1-1,0-4,2-2,1-1
2001,14,LAL,Los Angeles Lakers,1-1,2-0,2-0,2-0,2-0,4-0,2-2,2-0,3-1,3-1,1-1,3-1,,1-1,0-2,3-1,2-0,0-2,2-0,1-1,3-1,2-2,3-1,2-2,0-4,2-0,2-2,4-0,2-0
2001,16,MIA,Miami Heat,3-0,2-2,2-2,3-1,2-2,0-2,2-0,4-0,2-0,1-1,2-1,2-0,1-1,,1-2,1-1,3-1,2-3,3-1,1-3,0-2,1-1,1-1,1-1,1-1,2-2,1-1,2-0,4-0
2001,17,MIL,Milwaukee Bucks,3-1,3-1,1-3,4-0,3-1,1-1,1-1,3-1,2-0,0-2,2-2,1-1,2-0,2-1,,0-2,4-0,1-2,4-0,2-2,0-2,0-2,2-0,2-0,0-2,3-1,2-0,1-1,3-1
2001,18,MIN,Minnesota Timberwolves,2-0,1-1,1-1,2-0,2-0,1-3,2-2,2-0,2-2,2-2,1-1,2-2,1-3,1-1,2-0,,1-1,0-2,1-1,1-1,3-1,3-1,2-2,1-3,3-1,2-0,2-2,3-1,1-1
2001,3,NJN,New Jersey Nets,3-1,0-4,0-4,2-2,0-3,0-2,1-1,0-4,1-1,1-1,2-2,2-0,0-2,1-3,0-4,1-1,,2-2,1-3,1-3,1-1,0-2,0-2,1-1,1-1,1-2,0-2,1-1,3-1
