Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
2002,1,ATL,Atlanta Hawks,,2-2,2-2,3-1,3-1,0-2,2-0,1-3,2-0,1-1,1-3,1-1,1-1,2-0,3-1,1-3,0-2,2-1,1-3,1-3,1-3,1-1,1-1,0-2,0-2,0-2,0-4,1-1,0-3
2002,2,BOS,Boston Celtics,2-2,,2-1,2-2,4-0,0-2,2-0,2-2,1-1,0-2,3-0,2-0,2-0,2-0,3-1,1-3,1-1,3-1,4-0,3-1,1-3,1-1,1-1,0-2,0-2,1-1,2-2,1-1,3-1
2002,4,CHO,Charlotte Hornets,2-2,1-2,,4-0,3-1,0-2,2-0,1-3,2-0,1-1,3-1,1-1,0-2,1-1,3-0,2-2,0-2,1-3,2-2,3-1,1-3,2-0,1-1,0-2,1-1,1-1,2-2,1-1,3-1
2002,5,CHI,Chicago Bulls,1-3,2-2,0-4,,1-3,0-2,0-2,1-3,1-1,2-0,0-4,0-2,2-0,1-1,1-3,2-2,0-2,0-4,3-1,0-3,1-2,1-1,0-2,0-2,0-2,1-1,0-4,0-2,1-3
2002,6,CLE,Cleveland Cavaliers,1-3,0-4,1-3,3-1,,0-2,1-1,1-3,1-1,2-0,2-2,0-2,0-2,1-1,3-1,3-1,2-0,1-3,2-2,1-3,0-3,1-1,0-2,0-2,1-1,0-2,1-3,0-2,1-2
2002,7,DAL,Dallas Mavericks,2-0,2-0,2-0,2-0,2-0,,4-0,1-1,4-0,2-2,2-0,2-2,1-3,4-0,1-1,2-0,2-2,2-0,1-1,1-1,1-1,3-1,2-2,3-1,1-3,3-1,1-1,3-1,1-1
2002,8,DEN,Denver Nuggets,0-2,0-2,0-2,2-0,1-1,0-4,,0-2,1-3,2-2,0-2,1-3,1-3,3-1,0-2,0-2,2-2,1-1,2-0,0-2,1-1,3-1,2-2,0-4,0-4,3-1,1-1,1-3,0-2
2002,9,DET,Detroit Pistons,3-1,2-2,3-1,3-1,3-1,1-1,2-0,,1-1,1-1,3-1,1-1,0-2,2-0,2-1,2-2,1-1,3-1,3-1,2-2,2-1,1-1,0-2,0-2,0-2,1-1,3-1,1-1,4-0
2002,10,GSW,Golden State Warriors,0-2,1-1,0-2,1-1,1-1,0-4,3-1,1-1,,1-3,0-2,2-2,1-3,3-1,0-2,0-2,1-3,1-1,1-1,0-2,1-1,0-4,2-2,0-4,0-4,0-4,0-2,0-4,1-1
2002,11,HOU,Houston Rockets,1-1,2-0,1-1,0-2,0-2,2-2,2-2,1-1,3-1,,0-2,1-3,0-4,1-3,0-2,1-1,2-2,0-2,1-1,0-2,1-1,2-2,1-3,0-4,0-4,2-2,1-1,2-2,1-1
2002,12,IND,Indiana Pacers,3-1,0-3,1-3,4-0,2-2,0-2,2-0,1-3,2-0,2-0,,1-1,0-2,1-1,2-2,1-3,1-1,1-3,2-1,3-1,3-1,1-1,1-1,2-0,1-1,0-2,1-3,1-1,3-1
2002,13,LAC,Los Angeles Clippers,1-1,0-2,1-1,2-0,2-0,2-2,3-1,1-1,2-2,3-1,1-1,,1-3,3-1,2-0,1-1,2-2,0-2,2-0,1-1,0-2,3-1,1-3,1-3,1-3,1-3,1-1,0-4,1-1
2002,14,LAL,Los Angeles Lakers,1-1,0-2,2-0,0-2,2-0,3-1,3-1,2-0,3-1,4-0,2-0,3-1,,3-1,1-1,2-0,2-2,1-1,2-0,2-0,1-1,2-2,2-2,3-1,3-1,3-1,1-1,3-1,2-0
2002,15,MEM,Memphis Grizzlies,0-2,0-2,1-1,1-1,1-1,0-4,1-3,0-2,1-3,3-1,1-1,1-3,1-3,,1-1,0-2,0-4,0-2,1-1,0-2,2-0,1-3,2-2,1-3,0-4,0-4,1-1,3-1,0-2
2002,16,MIA,Miami Heat,1-3,1-3,0-3,3-1,1-3,1-1,2-0,1-2,2-0,2-0,2-2,0-2,1-1,1-1,,3-1,0-2,1-3,2-2,3-1,1-3,1-1,1-1,0-2,1-1,2-0,1-3,0-2,2-2
2002,17,MIL,Milwaukee Bucks,3-1,3-1,2-2,2-2,1-3,0-2,2-0,2-2,2-0,1-1,3-1,1-1,0-2,2-0,1-3,,0-2,1-2,1-3,2-1,1-3,0-2,0-2,0-2,2-0,0-2,4-0,2-0,3-1
2002,18,MIN,Minnesota Timberwolves,2-0,1-1,2-0,2-0,0-2,2-2,2-2,1-1,3-1,2-2,1-1,2-2,2-2,4-0,2-0,2-0,,1-1,2-0,1-1,1-1,2-2,2-2,1-3,2-2,2-2,1-1,3-1,2-0
2002,3,NJN,New Jersey Nets,1-2,1-3,3-1,4-0,3-1,0-2,1-1,1-3,1-1,2-0,3-1,2-0,1-1,2-0,3-1,2-1,1-1,,4-0,3-1,2-2,1-1,1-1,1-1,2-0,1-1,2-2,1-1,3-1
2002,20,NYK,New York Knicks,3-1,0-4,2-2,1-3,2-2,1-1,0-2,1-3,1-1,1-1,1-2,0-2,0-2,1-1,2-2,3-1,0-2,0-4,,0-4,1-3,1-1,1-1,1-1,0-2,2-0,3-0,1-1,1-3
2002,22,ORL,Orlando Magic,3-1,1-3,1-3,3-0,3-1,1-1,2-0,2-2,2-0,2-0,1-3,1-1,0-2,2-0,1-3,1-2,1-1,1-3,4-0,,3-1,2-0,0-2,1-1,0-2,0-2,3-1,1-1,2-2
2002,23,PHI,Philadelphia 76Ers,3-1,3-1,3-1,2-1,3-0,1-1,1-1,1-2,1-1,1-1,1-3,2-0,1-1,0-2,3-1,3-1,1-1,2-2,3-1,1-3,,2-0,0-2,0-2,1-1,1-1,1-3,0-2,2-3
2002,24,PHO,Phoenix Suns,1-1,1-1,0-2,1-1,1-1,1-3,1-3,1-1,4-0,2-2,1-1,1-3,2-2,3-1,1-1,2-0,2-2,1-1,1-1,0-2,0-2,,2-2,1-3,1-3,2-2,1-1,2-2,0-2
