Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
2008,1,ATL,Atlanta Hawks,,0-3,2-2,2-2,1-2,1-1,1-1,0-4,1-1,0-2,1-2,1-1,1-1,2-0,3-1,2-2,2-0,1-3,0-2,4-0,2-2,3-1,1-1,0-2,1-1,0-2,1-1,1-2,1-1,2-2
2008,2,BOS,Boston Celtics,3-0,,3-1,4-0,2-2,2-0,1-1,2-1,1-1,2-0,3-0,2-0,2-0,2-0,4-0,4-0,2-0,4-0,1-1,4-0,1-2,3-1,1-1,2-0,2-0,2-0,2-0,3-1,1-1,1-3
2008,4,CHA,Charlotte Bobcats,2-2,1-3,,1-3,1-3,0-2,1-1,0-3,1-1,0-2,3-1,2-0,1-1,1-1,3-1,1-2,2-0,1-3,0-2,1-2,1-3,1-2,0-2,2-0,0-2,0-2,2-0,2-2,1-1,1-3
2008,5,CHI,Chicago Bulls,2-2,0-4,3-1,,3-1,0-2,1-1,3-1,1-1,0-2,2-2,1-1,0-2,1-1,2-1,3-1,1-1,1-2,0-2,2-2,0-4,1-3,0-2,0-2,1-1,0-2,2-0,1-2,1-1,1-2
2008,6,CLE,Cleveland Cavaliers,2-1,2-2,3-1,1-3,,1-1,0-2,1-3,1-1,0-2,4-0,2-0,2-0,2-0,3-0,1-3,2-0,1-3,0-2,2-1,1-3,2-1,0-2,2-0,2-0,1-1,1-1,3-1,1-1,2-2
2008,7,DAL,Dallas Mavericks,1-1,0-2,2-0,2-0,1-1,,1-2,1-1,3-1,3-1,1-1,4-0,1-3,4-0,2-0,1-1,3-0,1-1,2-2,2-0,2-0,1-1,2-1,2-2,2-1,1-3,3-1,1-1,2-2,0-2
2008,8,DEN,Denver Nuggets,1-1,1-1,1-1,1-1,2-0,2-1,,0-2,3-1,2-2,1-1,3-1,0-3,4-0,2-0,1-1,4-0,2-0,1-2,1-1,1-1,1-1,2-2,2-2,2-1,2-2,3-1,2-0,1-3,2-0
2008,9,DET,Detroit Pistons,4-0,1-2,3-0,1-3,3-1,1-1,2-0,,2-0,1-1,4-0,2-0,1-1,2-0,4-0,3-1,2-0,3-0,2-0,2-2,2-2,2-2,2-0,1-1,0-2,2-0,2-0,3-1,0-2,2-1
2008,10,GSW,Golden State Warriors,1-1,1-1,1-1,1-1,1-1,1-3,1-3,0-2,,2-2,1-1,3-1,2-2,4-0,2-0,2-0,3-1,1-1,1-2,2-0,1-1,2-0,2-2,2-2,3-1,2-1,2-1,2-0,0-3,2-0
2008,11,HOU,Houston Rockets,2-0,0-2,2-0,2-0,2-0,1-3,2-2,1-1,2-2,,2-0,3-0,2-1,3-1,1-1,2-0,3-0,2-0,2-2,2-0,1-1,0-2,2-2,4-0,2-2,2-2,4-0,1-1,1-2,2-0
2008,12,IND,Indiana Pacers,2-1,0-3,1-3,2-2,0-4,1-1,1-1,0-4,1-1,0-2,,1-1,0-2,1-1,3-1,3-1,1-1,2-2,1-1,4-0,1-2,3-0,0-2,2-0,1-1,0-2,1-1,1-3,1-1,2-2
2008,13,LAC,Los Angeles Clippers,1-1,0-2,0-2,1-1,0-2,0-4,1-3,0-2,1-3,0-3,1-1,,0-4,3-1,1-1,1-1,1-3,2-0,0-4,2-0,0-2,0-2,1-3,0-3,3-1,0-3,2-1,1-1,1-3,0-2
2008,14,LAL,Los Angeles Lakers,1-1,0-2,1-1,2-0,0-2,3-1,3-0,1-1,2-2,1-2,2-0,4-0,,2-1,2-0,1-1,3-0,1-1,2-2,2-0,1-1,2-0,3-1,2-2,3-1,2-2,4-0,2-0,3-1,2-0
2008,15,MEM,Memphis Grizzlies,0-2,0-2,1-1,1-1,0-2,0-4,0-4,0-2,0-4,1-3,1-1,1-3,1-2,,2-0,0-2,2-2,2-0,0-4,2-0,1-1,0-2,0-3,0-3,2-2,1-3,3-1,0-2,0-3,1-1
2008,16,MIA,Miami Heat,1-3,0-4,1-3,1-2,0-3,0-2,0-2,0-4,0-2,1-1,1-3,1-1,0-2,0-2,,2-2,1-1,1-2,0-2,1-3,0-4,0-3,1-1,0-2,1-1,0-2,1-1,0-4,1-1,0-4
2008,17,MIL,Milwaukee Bucks,2-2,0-4,2-1,1-3,3-1,1-1,1-1,1-3,0-2,0-2,1-3,1-1,1-1,2-0,2-2,,1-1,0-4,0-2,1-2,1-2,1-3,0-2,0-2,0-2,0-2,1-1,1-2,0-2,2-2
