Season,Team ID,Team ABV,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAS,SDC,SEA,UTA,WSB
1984,1,ATL,Atlanta Hawks,,0-5,4-2,3-3,1-1,0-2,2-4,1-1,1-1,4-2,0-2,0-2,3-3,3-3,4-1,5-1,1-1,0-2,1-1,1-1,1-1,1-1,4-2
1984,2,BOS,Boston Celtics,5-0,,5-0,6-0,2-0,2-0,4-2,2-0,1-1,5-1,2-0,0-2,5-1,4-2,3-3,2-4,2-0,2-0,2-0,1-1,2-0,1-1,4-2
1984,5,CHI,Chicago Bulls,2-4,0-5,,2-4,1-1,0-2,1-5,2-0,0-2,3-3,1-1,0-2,2-4,2-4,2-4,2-3,1-1,2-0,0-2,1-1,0-2,1-1,2-4
1984,6,CLE,Cleveland Cavaliers,3-3,0-6,4-2,,1-1,0-2,1-5,1-1,1-1,2-4,0-2,0-2,1-5,2-3,1-5,2-4,1-1,1-1,1-1,1-1,1-1,0-2,4-1
1984,7,DAL,Dallas Mavericks,1-1,0-2,1-1,1-1,,4-2,0-2,4-1,4-2,2-0,3-3,3-2,0-2,1-1,0-2,1-1,3-2,2-3,4-2,4-1,1-4,4-2,0-2
1984,8,DEN,Denver Nuggets,2-0,0-2,2-0,2-0,2-4,,1-1,2-3,4-2,0-2,4-2,1-4,1-1,1-1,1-1,1-1,2-3,1-4,3-3,3-2,2-3,3-3,0-2
1984,9,DET,Detroit Pistons,4-2,2-4,5-1,5-1,2-0,1-1,,1-1,1-1,4-2,1-1,1-1,3-2,1-4,4-2,3-3,2-0,1-1,1-1,2-0,1-1,1-1,3-3
1984,10,GSW,Golden State Warriors,1-1,0-2,0-2,1-1,1-4,3-2,1-1,,2-3,2-0,4-1,3-3,0-2,1-1,1-1,1-1,1-5,2-4,3-2,3-3,4-2,1-4,2-0
1984,11,HOU,Houston Rockets,1-1,1-1,2-0,1-1,2-4,2-4,1-1,3-2,,1-1,2-4,1-4,1-1,0-2,0-2,0-2,2-3,1-4,2-4,2-3,3-2,1-5,0-2
1984,12,IND,Indiana Pacers,2-4,1-5,3-3,4-2,0-2,2-0,2-4,0-2,1-1,,0-2,1-1,1-5,1-5,2-4,0-5,1-1,1-1,0-2,1-1,1-1,1-1,1-4
1984,26,KCK,Kansas City Kings,2-0,0-2,1-1,2-0,3-3,2-4,1-1,1-4,4-2,2-0,,0-5,0-2,2-0,0-2,0-2,2-3,2-3,5-1,3-2,1-4,3-3,2-0
1984,14,LAL,Los Angeles Lakers,2-0,2-0,2-0,2-0,2-3,4-1,1-1,3-3,4-1,1-1,5-0,,2-0,1-1,0-2,1-1,3-3,5-1,2-3,4-2,3-3,4-1,1-1
1984,17,MIL,Milwaukee Bucks,3-3,1-5,4-2,5-1,2-0,1-1,2-3,2-0,1-1,5-1,2-0,0-2,,4-2,4-1,2-4,2-0,1-1,1-1,1-1,1-1,1-1,5-1
1984,3,NJN,New Jersey Nets,3-3,2-4,4-2,3-2,1-1,1-1,4-1,1-1,2-0,5-1,0-2,1-1,2-4,,3-3,3-3,2-0,0-2,0-2,2-0,1-1,1-1,4-2
1984,20,NYK,New York Knicks,1-4,3-3,4-2,5-1,2-0,1-1,2-4,1-1,2-0,4-2,2-0,2-0,1-4,3-3,,2-4,1-1,0-2,2-0,2-0,1-1,2-0,4-2
1984,23,PHI,Philadelphia 76Ers,1-5,4-2,3-2,4-2,1-1,1-1,3-3,1-1,2-0,5-0,2-0,1-1,4-2,3-3,4-2,,1-1,1-1,2-0,2-0,1-1,2-0,4-2
1984,24,PHO,Phoenix Suns,1-1,0-2,1-1,1-1,2-3,3-2,0-2,5-1,3-2,1-1,3-2,3-3,0-2,0-2,1-1,1-1,,2-4,5-0,4-2,2-4,1-4,2-0
1984,25,POR,Portland Trail Blazers,2-0,0-2,0-2,1-1,3-2,4-1,1-1,4-2,4-1,1-1,3-2,1-5,1-1,2-0,2-0,1-1,4-2,,4-1,4-2,4-2,1-4,1-1
1984,27,SAS,San Antonio Spurs,1-1,0-2,2-0,1-1,2-4,3-3,1-1,2-3,4-2,2-0,1-5,3-2,1-1,2-0,0-2,0-2,0-5,1-4,,4-1,2-3,4-2,1-1
1984,13,SDC,San Diego Clippers,1-1,1-1,1-1,1-1,1-4,2-3,0-2,3-3,3-2,1-1,2-3,2-4,1-1,0-2,0-2,0-2,2-4,2-4,1-4,,3-3,2-3,1-1
1984,21,SEA,Seattle Supersonics,1-1,0-2,2-0,1-1,4-1,3-2,1-1,2-4,2-3,1-1,4-1,3-3,1-1,1-1,1-1,1-1,4-2,2-4,3-2,3-3,,1-4,1-1
1984,29,UTA,Utah Jazz,1-1,1-1,1-1,2-0,2-4,3-3,1-1,4-1,5-1,1-1,3-3,1-4,1-1,1-1,0-2,0-2,4-1,4-1,2-4,3-2,4-1,,1-1
1984,30,WAB,Washington Bullets,2-4,2-4,4-2,1-4,2-0,2-0,3-3,0-2,2-0,4-1,0-2,1-1,1-5,2-4,2-4,2-4,0-2,1-1,1-1,1-1,1-1,1-1,
