Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1998,1,ATL,Atlanta Hawks,,2-1,4-0,1-3,4-0,2-0,2-0,2-2,2-0,1-1,1-3,2-0,0-2,1-3,3-1,0-2,1-2,2-2,2-2,3-1,0-2,1-1,2-0,1-1,1-1,4-0,0-2,2-0,4-0
1998,2,BOS,Boston Celtics,1-2,,1-2,1-3,1-3,1-1,1-1,2-2,1-1,1-1,0-4,2-0,1-1,0-4,2-2,1-1,2-2,2-2,2-2,3-1,0-2,1-1,1-1,0-2,1-1,3-0,0-2,2-0,3-2
1998,4,CHO,Charlotte Hornets,0-4,2-1,,1-3,2-2,2-0,2-0,3-1,1-1,2-0,3-1,2-0,1-1,3-1,3-1,1-1,2-2,1-3,3-1,2-1,1-1,2-0,1-1,1-1,1-1,4-0,1-1,2-0,2-2
1998,5,CHI,Chicago Bulls,3-1,3-1,3-1,,2-2,1-1,2-0,3-1,2-0,2-0,2-2,2-0,1-1,2-1,4-0,1-1,4-0,4-0,3-1,2-1,1-1,1-1,2-0,2-0,1-1,4-0,0-2,2-0,3-1
1998,6,CLE,Cleveland Cavaliers,0-4,3-1,2-2,2-2,,1-1,2-0,3-1,2-0,1-1,2-2,2-0,1-1,1-3,2-2,2-0,3-1,1-2,2-2,3-1,2-0,1-1,2-0,0-2,0-2,3-1,1-1,2-0,1-2
1998,7,DAL,Dallas Mavericks,0-2,1-1,0-2,1-1,1-1,,3-1,0-2,1-3,0-4,1-1,1-3,0-4,0-2,0-2,2-2,0-2,1-1,0-2,0-2,0-4,0-4,0-4,0-4,2-2,1-1,0-4,4-0,1-1
1998,8,DEN,Denver Nuggets,0-2,1-1,0-2,0-2,0-2,1-3,,0-2,1-3,0-4,0-2,2-2,0-4,0-2,0-2,1-3,0-2,0-2,0-2,0-2,0-4,2-2,1-3,0-4,0-4,0-2,0-4,1-3,1-1
1998,9,DET,Detroit Pistons,2-2,2-2,1-3,1-3,1-3,2-0,2-0,,2-0,1-1,1-3,2-0,0-2,1-2,2-2,0-2,2-2,2-2,1-2,3-1,1-1,0-2,1-1,1-1,0-2,4-0,0-2,0-2,2-2
1998,10,GSW,Golden State Warriors,0-2,1-1,1-1,0-2,0-2,3-1,3-1,0-2,,1-3,0-2,1-3,1-3,0-2,0-2,0-4,0-2,1-1,1-1,0-2,0-4,1-3,2-2,1-3,1-3,0-2,0-4,1-3,0-2
1998,11,HOU,Houston Rockets,1-1,1-1,0-2,0-2,1-1,4-0,4-0,1-1,3-1,,1-1,4-0,1-3,0-2,1-1,1-3,1-1,1-1,0-2,1-1,1-3,1-3,4-0,2-2,1-3,2-0,0-4,3-1,1-1
1998,12,IND,Indiana Pacers,3-1,4-0,1-3,2-2,2-2,1-1,2-0,3-1,2-0,1-1,,2-0,0-2,3-1,4-0,2-0,2-1,2-1,3-1,4-0,1-1,1-1,2-0,0-2,0-2,4-0,1-1,2-0,4-0
1998,13,LAC,Los Angeles Clippers,0-2,0-2,0-2,0-2,0-2,3-1,2-2,0-2,3-1,0-4,0-2,,0-4,0-2,0-2,0-4,1-1,0-2,0-2,1-1,0-4,0-4,3-1,1-3,0-4,1-1,1-3,1-3,0-2
