Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WSB
1996,1,ATL,Atlanta Hawks,,4-0,3-1,0-4,3-1,1-1,1-1,2-2,1-1,1-1,1-3,2-0,0-2,2-2,2-2,1-1,4-0,2-1,2-2,2-1,0-2,2-0,2-0,0-2,0-2,4-0,1-1,2-0,1-3
1996,2,BOS,Boston Celtics,0-4,,2-2,0-3,1-3,0-2,1-1,2-1,0-2,1-1,0-4,2-0,0-2,3-1,3-1,2-0,2-2,0-4,1-3,4-0,1-1,0-2,2-0,0-2,0-2,3-1,0-2,1-1,2-2
1996,4,CHO,Charlotte Hornets,1-3,2-2,,1-3,3-1,2-0,2-0,1-3,0-2,0-2,1-3,1-1,2-0,2-2,3-1,1-1,0-3,3-0,0-4,3-1,2-0,1-1,1-1,0-2,0-2,3-1,1-1,2-0,3-1
1996,5,CHI,Chicago Bulls,4-0,3-0,3-1,,4-0,2-0,1-1,4-0,2-0,2-0,2-2,2-0,2-0,3-1,4-0,2-0,3-0,3-1,3-1,4-0,1-1,2-0,2-0,2-0,1-1,3-1,2-0,2-0,4-0
1996,6,CLE,Cleveland Cavaliers,1-3,3-1,1-3,0-4,,2-0,1-1,2-2,2-0,1-1,2-2,2-0,2-0,1-3,4-0,2-0,1-2,3-1,1-2,4-0,2-0,1-1,1-1,0-2,0-2,3-1,0-2,2-0,3-1
1996,7,DAL,Dallas Mavericks,1-1,2-0,0-2,0-2,0-2,,2-2,0-2,2-2,1-3,0-2,2-2,0-4,0-2,1-1,0-4,1-1,0-2,1-1,0-2,1-3,0-4,2-2,2-2,2-2,1-1,1-3,4-0,0-2
1996,8,DEN,Denver Nuggets,1-1,1-1,0-2,1-1,1-1,2-2,,1-1,2-2,1-3,0-2,1-3,2-2,0-2,1-1,4-0,0-2,1-1,1-1,2-0,3-1,0-4,0-4,0-4,1-3,2-0,3-1,3-1,1-1
1996,9,DET,Detroit Pistons,2-2,1-2,3-1,0-4,2-2,2-0,1-1,,2-0,1-1,2-2,2-0,0-2,1-3,2-2,1-1,4-0,0-4,1-3,4-0,2-0,2-0,1-1,2-0,1-1,4-0,0-2,2-0,1-2
1996,10,GSW,Golden State Warriors,1-1,2-0,2-0,0-2,0-2,2-2,2-2,0-2,,2-2,1-1,3-1,1-3,1-1,1-1,3-1,2-0,0-2,0-2,2-0,1-3,1-3,1-3,1-3,0-4,1-1,1-3,4-0,1-1
1996,11,HOU,Houston Rockets,1-1,1-1,2-0,0-2,1-1,3-1,3-1,1-1,2-2,,2-0,4-0,3-1,0-2,2-0,2-2,2-0,0-2,0-2,2-0,3-1,2-2,2-2,1-3,0-4,2-0,2-2,4-0,1-1
1996,12,IND,Indiana Pacers,3-1,4-0,3-1,2-2,2-2,2-0,2-0,2-2,1-1,0-2,,2-0,1-1,3-0,3-1,1-1,1-3,1-3,2-2,3-1,1-1,1-1,0-2,1-1,2-0,4-0,0-2,2-0,3-0
1996,13,LAC,Los Angeles Clippers,0-2,0-2,1-1,0-2,0-2,2-2,3-1,0-2,1-3,0-4,0-2,,0-4,1-1,1-1,3-1,1-1,1-1,0-2,2-0,3-1,2-2,2-2,1-3,0-4,0-2,1-3,3-1,1-1
1996,14,LAL,Los Angeles Lakers,2-0,2-0,0-2,0-2,0-2,4-0,2-2,2-0,3-1,1-3,1-1,4-0,,2-0,2-0,3-1,2-0,1-1,1-1,1-1,3-1,2-2,3-1,1-3,2-2,2-0,2-2,4-0,1-1
1996,16,MIA,Miami Heat,2-2,1-3,2-2,1-3,3-1,2-0,2-0,3-1,1-1,2-0,0-3,1-1,0-2,,3-0,1-1,5-0,1-3,1-3,3-1,1-1,0-2,1-1,1-1,0-2,2-1,0-2,1-1,2-2
1996,17,MIL,Milwaukee Bucks,2-2,1-3,1-3,0-4,0-4,1-1,1-1,2-2,1-1,0-2,1-3,1-1,0-2,0-3,,1-1,1-3,2-2,1-3,2-1,0-2,2-0,0-2,1-1,0-2,2-2,0-2,1-1,1-3
1996,18,MIN,Minnesota Timberwolves,1-1,0-2,1-1,0-2,0-2,4-0,0-4,1-1,1-3,2-2,1-1,1-3,1-3,1-1,1-1,,1-1,0-2,0-2,1-1,1-3,0-4,3-1,1-3,0-4,1-1,1-3,2-2,0-2
1996,3,NJN,New Jersey Nets,0-4,2-2,3-0,0-3,2-1,1-1,2-0,0-4,0-2,0-2,3-1,1-1,0-2,0-5,3-1,1-1,,2-2,0-4,2-2,0-2,1-1,1-1,0-2,0-2,2-2,0-2,2-0,2-2
1996,20,NYK,New York Knicks,1-2,4-0,0-3,1-3,1-3,2-0,1-1,4-0,2-0,2-0,3-1,1-1,1-1,3-1,2-2,2-0,2-2,,1-3,3-1,0-2,0-2,0-2,1-1,1-1,4-0,1-1,1-1,3-1
1996,22,ORL,Orlando Magic,2-2,3-1,4-0,1-3,2-1,1-1,1-1,3-1,2-0,2-0,2-2,2-0,1-1,3-1,3-1,2-0,4-0,3-1,,4-0,2-0,1-1,1-1,1-1,1-1,2-1,1-1,2-0,4-0
1996,23,PHI,Philadelphia 76Ers,1-2,0-4,1-3,0-4,0-4,2-0,0-2,0-4,0-2,0-2,1-3,0-2,1-1,1-3,1-2,1-1,2-2,1-3,0-4,,0-2,0-2,0-2,0-2,0-2,3-1,1-1,1-1,1-3
1996,24,PHO,Phoenix Suns,2-0,1-1,0-2,1-1,0-2,3-1,1-3,0-2,3-1,1-3,1-1,1-3,1-3,1-1,2-0,3-1,2-0,2-0,0-2,2-0,,2-2,2-2,1-3,0-4,2-0,1-3,4-0,2-0
1996,25,POR,Portland Trail Blazers,0-2,2-0,1-1,0-2,1-1,4-0,4-0,0-2,3-1,2-2,1-1,2-2,2-2,2-0,0-2,4-0,1-1,2-0,1-1,2-0,2-2,,1-3,1-3,1-3,2-0,1-3,2-2,0-2
1996,26,SAC,Sacramento Kings,0-2,0-2,1-1,0-2,1-1,2-2,4-0,1-1,3-1,2-2,2-0,2-2,1-3,1-1,2-0,1-3,1-1,2-0,1-1,2-0,2-2,3-1,,1-3,0-4,2-0,0-4,2-2,0-2
1996,27,SAS,San Antonio Spurs,2-0,2-0,2-0,0-2,2-0,2-2,4-0,0-2,3-1,3-1,1-1,3-1,3-1,1-1,1-1,3-1,2-0,1-1,1-1,2-0,3-1,3-1,3-1,,2-2,2-0,3-1,4-0,1-1
1996,21,SEA,Seattle Supersonics,2-0,2-0,2-0,1-1,2-0,2-2,3-1,1-1,4-0,4-0,0-2,4-0,2-2,2-0,2-0,4-0,2-0,1-1,1-1,2-0,4-0,3-1,4-0,2-2,,1-1,3-1,3-1,1-1
1996,28,TOR,Toronto Raptors,0-4,1-3,1-3,1-3,1-3,1-1,0-2,0-4,1-1,0-2,0-4,2-0,0-2,1-2,2-2,1-1,2-2,0-4,1-2,1-3,0-2,0-2,0-2,0-2,1-1,,0-2,1-1,3-1
1996,29,UTA,Utah Jazz,1-1,2-0,1-1,0-2,2-0,3-1,1-3,2-0,3-1,2-2,2-0,3-1,2-2,2-0,2-0,3-1,2-0,1-1,1-1,1-1,3-1,3-1,4-0,1-3,1-3,2-0,,4-0,1-1
1996,15,VAN,Vancouver Grizzlies,0-2,1-1,0-2,0-2,0-2,0-4,1-3,0-2,0-4,0-4,0-2,1-3,0-4,1-1,1-1,2-2,0-2,1-1,0-2,1-1,0-4,2-2,2-2,0-4,1-3,1-1,0-4,,0-2
1996,30,WAB,Washington Bullets,3-1,2-2,1-3,0-4,1-3,2-0,1-1,2-1,1-1,1-1,0-3,1-1,1-1,2-2,3-1,2-0,2-2,1-3,0-4,3-1,0-2,2-0,2-0,1-1,1-1,1-3,1-1,2-0,
