Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1999,1,ATL,Atlanta Hawks,,3-0,3-0,3-1,2-1,0-1,,1-2,,1-0,3-1,1-0,,0-3,1-2,,1-2,2-1,2-2,2-1,1-0,,,,,2-1,,1-0,2-1
1999,2,BOS,Boston Celtics,0-3,,1-2,2-1,2-2,,1-0,0-3,,,0-3,1-0,,3-0,0-3,0-1,1-2,1-2,1-2,1-2,,0-1,0-1,,,1-2,,1-0,3-1
1999,4,CHO,Charlotte Hornets,0-3,2-1,,2-1,2-1,,,3-0,0-1,,1-2,,0-1,1-2,2-2,,3-0,1-3,1-2,1-2,1-0,1-0,0-1,,,2-1,1-0,,2-1
1999,5,CHI,Chicago Bulls,1-3,1-2,1-2,,0-3,0-1,,0-3,,,0-3,1-0,,1-2,1-3,,2-1,1-2,0-3,1-2,,,,0-1,0-1,1-2,0-1,1-0,1-2
1999,6,CLE,Cleveland Cavaliers,1-2,2-2,1-2,3-0,,,,1-2,1-0,0-1,0-3,,1-0,0-3,1-2,,3-0,1-2,1-2,1-2,1-0,,,1-0,,2-2,0-1,,1-2
1999,7,DAL,Dallas Mavericks,1-0,,,1-0,,,2-1,0-1,2-2,2-2,,3-0,0-3,0-1,,1-2,0-1,,1-0,,1-3,0-3,2-2,1-3,0-3,,0-3,2-1,
1999,8,DEN,Denver Nuggets,,0-1,,,,1-2,,,1-3,0-4,0-1,3-0,1-2,0-1,1-0,0-3,1-0,,,,0-3,0-3,0-3,0-4,2-2,,1-2,3-1,0-1
1999,9,DET,Detroit Pistons,2-1,3-0,0-3,3-0,2-1,1-0,,,,,2-1,,,2-1,2-1,0-1,2-1,2-1,0-4,1-3,1-0,,,0-1,1-0,2-1,1-0,,2-1
1999,10,GSW,Golden State Warriors,,,1-0,,0-1,2-2,3-1,,,0-3,1-0,2-1,1-2,,0-1,2-2,,,0-1,,1-2,2-2,1-2,0-3,1-2,,0-4,3-0,1-0
1999,11,HOU,Houston Rockets,0-1,,,,1-0,2-2,4-0,,3-0,,,3-1,1-2,0-1,,2-1,1-0,,0-1,,2-2,2-1,3-0,0-3,2-1,1-0,0-3,4-0,
1999,12,IND,Indiana Pacers,1-3,3-0,2-1,3-0,3-0,,1-0,1-2,0-1,,,,1-0,2-2,3-0,,3-1,2-1,1-2,1-2,,0-1,,,,2-1,,1-0,3-0
1999,13,LAC,Los Angeles Clippers,0-1,0-1,,0-1,,0-3,0-3,,1-2,1-3,,,0-4,,,2-2,1-0,0-1,,,0-3,1-2,1-2,0-3,0-3,0-1,1-3,1-3,
1999,14,LAL,Los Angeles Lakers,,,1-0,,0-1,3-0,2-1,,2-1,2-1,0-1,4-0,,,,2-1,,1-0,1-0,0-1,3-1,2-2,1-2,2-1,2-2,,1-3,2-1,
1999,16,MIA,Miami Heat,3-0,0-3,2-1,2-1,3-0,1-0,1-0,1-2,,1-0,2-2,,,,2-1,0-1,3-1,2-2,2-1,2-1,,,,,,3-0,0-1,,3-0
1999,17,MIL,Milwaukee Bucks,2-1,3-0,2-2,3-1,2-1,,0-1,1-2,1-0,,0-3,,,1-2,,1-0,2-1,2-1,1-2,1-2,0-1,,,,1-0,3-1,,,2-1
1999,18,MIN,Minnesota Timberwolves,,1-0,,,,2-1,3-0,1-0,2-2,1-2,,2-2,1-2,1-0,0-1,,,0-1,,,1-2,0-3,3-1,2-2,2-1,0-1,0-3,3-1,
1999,3,NJN,New Jersey Nets,2-1,2-1,0-3,1-2,0-3,1-0,0-1,1-2,,0-1,1-3,0-1,,1-3,1-2,,,0-3,0-3,1-2,,0-1,,,1-0,2-1,,,2-1
1999,20,NYK,New York Knicks,1-2,2-1,3-1,2-1,2-1,,,1-2,,,1-2,1-0,0-1,2-2,1-2,1-0,3-0,,0-3,3-1,1-0,,0-1,,,1-2,,,2-1
1999,22,ORL,Orlando Magic,2-2,2-1,2-1,3-0,2-1,0-1,,4-0,1-0,1-0,2-1,,0-1,1-2,2-1,,3-0,3-0,,1-2,,,1-0,0-1,,1-2,,,2-1
1999,23,PHI,Philadelphia 76Ers,1-2,2-1,2-1,2-1,2-1,,,3-1,,,2-1,,1-0,1-2,2-1,,2-1,1-3,2-1,,,0-1,1-0,0-1,0-1,2-1,,1-0,1-2
1999,24,PHO,Phoenix Suns,0-1,,0-1,,0-1,3-1,3-0,0-1,2-1,2-2,,3-0,1-3,,1-0,2-1,,0-1,,,,0-3,0-3,2-2,3-0,,2-2,3-0,
1999,25,POR,Portland Trail Blazers,,1-0,0-1,,,3-0,3-0,,2-2,1-2,1-0,2-1,2-2,,,3-0,1-0,,,1-0,3-0,,4-0,1-3,2-2,,1-2,3-0,1-0
1999,26,SAC,Sacramento Kings,,1-0,1-0,,,2-2,3-0,,2-1,0-3,,2-1,2-1,,,1-3,,1-0,0-1,0-1,3-0,0-4,,1-2,2-2,,1-2,4-0,1-0
1999,27,SAS,San Antonio Spurs,,,,1-0,0-1,3-1,4-0,1-0,3-0,3-0,,3-0,1-2,,,2-2,,,1-0,1-0,2-2,3-1,2-1,,2-1,0-1,2-1,3-0,
1999,21,SEA,Seattle Supersonics,,,,1-0,,3-0,2-2,0-1,2-1,1-2,,3-0,2-2,,0-1,1-2,0-1,,,1-0,0-3,2-2,2-2,1-2,,,2-2,2-1,0-1
1999,28,TOR,Toronto Raptors,1-2,2-1,1-2,2-1,2-2,,,1-2,,0-1,1-2,1-0,,0-3,1-3,1-0,1-2,2-1,2-1,1-2,,,,1-0,,,,1-0,2-2
1999,29,UTA,Utah Jazz,,,0-1,1-0,1-0,3-0,2-1,0-1,4-0,3-0,,3-1,3-1,1-0,,3-0,,,,,2-2,2-1,2-1,1-2,2-2,,,3-0,1-0
1999,15,VAN,Vancouver Grizzlies,0-1,0-1,,0-1,,1-2,1-3,,0-3,0-4,0-1,3-1,1-2,,,1-3,,,,0-1,0-3,0-3,0-4,0-3,1-2,0-1,0-3,,
1999,30,WAS,Washington Wizards,1-2,1-3,1-2,2-1,2-1,,1-0,1-2,0-1,,0-3,,,0-3,1-2,,1-2,1-2,1-2,2-1,,0-1,0-1,,1-0,2-2,0-1,,
